Idx,Locality,Industry,Start,Title,Company,Prev Company,Post
in-akshayshali,"Bengaluru, Karnataka, India",Research,November 2011,"Brand Analyst, Analytics Insights",IBM,Deloitte,"6+ years experience in business research, competitive and market intelligenceCurrently I am part of the Analytical Insights team at IBM. I am aligned with Business Analytics and Optimization (BAO) and smarter commerce. I also track growth and trends of companies adopting social media for enterprise management like employee communities.As part of my work I track IT trends and spending patterns for various IBM offerings across the Europe market, with a special focus on Germany and Alps.Previously I was part of the Competitive Intelligence& Strategy Development team at Deloitte. It is part of Research & Innovation team of Deloitte US LLP.- Work experience spread across competitive intelligence, pursuit support, strategy development, program management and client acquisition.- Experience in stabilizing CI program, and running it successfully, enabling strategy development.Prior to joining Deloitte, I was working as a relationship manager with Uniglobal Services Pvt Ltd, where i was involved in Competitor tracking, and collection, trading & selling of debt market instruments like Government Securites."
in-alejman,Poland,Oprogramowanie komputerowe,March 2006,Director,Altkom,Deloitte,"Certifications:PMP - Project Management Professional, Sun Certified Java Architect, Sun Certified Java Developer; Sun Certified Java Developer;"
in-aleksandergosk,"Warsaw Area, Poland",Usługi finansowe,May 2008,Retail Credit Risk Management Dep. Deputy Director,ING Bank,Ernst & Young,"Skilled mathematician experienced in credit risk management in retail banking, who worked for international financial institutions. Focused on scoring and rating models development and validation, credit policy and processes development, credit portfolio management and risk supporting IT systems development and implementation."
in-alexandraaraujo,"Lisbon Area, Portugal",Consultoria de gerenciamento,March 2010,Responsible for IT applications and improvement processes,Esporão,Deloitte,"Responsible for managing IT applications and improvement processes at Esporão (wine and olive oil producer) since March 2010.Involved in key projects for Esporão such as integration of sales information from major distributors, revision of the budgeting process, development of a new application to support the purchase process, design of a new governance model for Customer collection and a breakthrough to the information management system, besides a daily basis support to the CFO and membership of internal Quality Auditing.Joined Esporão, after 3 years as senior consultant at Deloitte Strategy & Operations practice (management consulting) and 5 years as an IT consultant at everis.Delivered projects in different customers and sectors, mainly from the biggest Portuguese companies at Aviation, Energy, Telecommunications and Financial Services.Areas of expertise includes business transformation programs, supported by well-known methodologies and tools, but also software design and implementation.MBA from Universidade Nova de Lisboa since 2006 and degree in Chemical Engineering from Instituto Superior Técnico (Lisbon) since 1998."
in-alexandramoraru7,"Brussels Area, Belgium",Logistics and Supply Chain,January 2012,Program Analyst,DHL Supply Chain,PwC,"•	Project Management: enabling a sustainable a framework for Corporate Social Responsibility, short and medium term project set-up and coordination•	Corporate account management: communications campaigns development and implementation, market research, project and event managemen, stakeholder management, aftermarket communication•	Data and analysis: data quality and research, data analysis and interpretation•	Training and education: evaluating educational needs and building the needed trainings, conference management, facilitation of over 20 international and national conferences in Europe, Central America and South Asia•	Overall: cultural diversity and working in multicultural environment"
in-allisonboyce,Dallas/Fort Worth Area,Information Technology and Services,August 2009,Worldwide Recruitment Business Partner | Field Services,Guidewire Software,Deloitte,"Consulting recruiting when nothing but the best will do.Proposing, planning, and executing hiring campaigns to build teams in a transparent and achievable model.Special project initiatives to build high quality employee referrals and to hire to hurt out of a competitor."
in-amandaangulo,Greater New York City Area,Human Resources,June 2007,"Vice President, Campus Recruiting",Credit Suisse,KPMG,"Human Resources professional with over 10 years of experience in Campus Recruiting, Experienced Recruiting and HR Generalist functions."
in-ambarishhr,Qatar,Human Resources,August 2010,Head of Human Resources,AMWAJ,KPMG,"Strategic Leader specializing in building an organization’s human capital capability – aligning structure, building staff / skills and systems/processes to drive growth, innovation, and continuous improvement.More than 9 years of experience as a HR Professional involved in design, development and deployment of HR Functions across IT, FMCG, Retail, Manufacturing, Real Estate, Construction, Banking, Oil and Gas, Engineering, Pharmaceutical, Catering, Educational Institutions and Government Sectors.Mix of HR Systems Development and HR Deployment experience with demonstrated leadership skills, strong presence, and ability to consult and influence all levels of the organization and ability to deliver quality services while adhering to challenging deadlines.Ability to encourage and assist managers and staff in a multicultural environment to embrace the power of diversity to drive the business and to create a positive, productive environment where each associate can fully contribute and be valued.Excellent communication, collaboration and customer focus skills. Results-driven and ability to exercise decision making.Thorough comprehension of effective project and process management practices proven to maintain high standards of quality, productivity, and efficiency.Highly resourceful, positive team player and decision maker with the ability to motivate and resolve problems in challenging environments.Diverse and rich business consulting experience in Process Management, process architecture design/ modeling ,gap analysis and business process re-engineering using comprehensive understanding and application of principles, concepts, industry practices, and standards around continuous improvements."
in-amitkrajan,"London, United Kingdom",Information Technology and Services,April 2011,Director/Salesforce Technical Architect,WinIT Consultancy Services Ltd,Deloitte,"	Strong stake holder management and interaction skills to covert stakeholder’s vision to business benefits through agile methodology within budget and time with quality standards	Solution architecture, design and development on Froce.com platform	Excellent communication skills and ability to build relationship with senior management, stakeholders and onsite & offshore project team to deliver end product	Commercial awareness in identifying, analysing and developing business case in competitive financial market for various industries such as finance, insurance, telecommunication, airways and shipping	Analytical skills, problem solving and critical thinking to change business processes to align with organisation’s goal and objectives	Ability to transform business requirements into detailed requirements specification document and technical specification documents	Capability to deliver complex IT system using rational unified process through iterative and incremental software development methodology.	Strong domain knowledge of Investment Banking & General Insurance	Collaborated effectively with geographically distributed teams	Over 7 years of IT experience in the area of Application design, development & consultancy	Over 3.5 years of Development and consultancy experience on Salesforce CRM & Force.com using Apex, Visual Force, SOQL, SOSL, S-Controls, complex Apex Triggers & Classes, Salesforce Web API & Apex web services	Experience of working with Scrum, Waterfall, RAD & Agile methodologies Integration of Salesforce with SAP, Eloqua, Relational Junction, DBAmp, Informatica, Body, Inhouse C# & Java applications	Familiarity with concepts such as dependency injection and domain modeling	Have good understanding of Fixed price as well as T&M working model	Have performed the Project lead and delivery Manager responsibility for projects at TCS-Aviva relationship"
in-amitparekhcapgemini,"Bengaluru, Karnataka, India",Information Technology and Services,2001,"VP & COO BPO India, CFO for BPO India and CFO for the BPO Global Delivery Network","Capgemini, BPO India",PwC,"I bring nearly 20 years’ international experience in core finance operations to my role as Chief Financial Officer for Capgemini BPO’s Global Delivery Network and Capgemini BPO’s India unit. I am a hands-on CFO, interpreting our strategic requirements into tangible results through the efficient financial management of our operations. I am a part of the BPO India management team, the Capgemini BPO Global Delivery Network management team. I am also the head of our BPO India operations."
in-amritavk,"Zürich Area, Switzerland",Personalwesen,February 2010,Senior Manager - Talent Management & Organization Development,Schneider Electric,Ernst & Young,"HR professional with 7 years of work experience post completion of Masters from Tata Institute of Social Sciences (2005). Did HR consulting with Ernst & Young, worked with clients in diverse businesses like Banking, Technology, Chemicals, Shipping, Infrastructure, Automobiles, Venture Capital, Telecom, General Insurance, etc. After this stint, worked in the area of Talent Management & OD at Schneider Electric."
in-amydeiters,Greater St. Louis Area,Financial Services,August 2012,Senior Manager,Enterprise Rent-A-Car,Ernst & Young,"Proven ability to lead large multimillion dollar top priority projects. Ability to grasp business needs, evaluate priorities and apply computer technologies to deliver time saving and cost effective enterprise solutions. Broad background includes leading IT and business professionals experienced in Health Care, Insurance, Banking and Financial services. Ability to travel."
in-anantiyer,"Toronto, Canada Area",Information Technology and Services,November 2007,Principal,Sansin Consulting Inc.,Deloitte,"Certified SAP FICO Lead Consultant/Solution Architect with over 20 years of business experience encompassing proven skills of Planning, Organizing, Controlling and Managing the financial and cost operations of enterprises. Over 12 years of experience specializing in SAP Financials. During this time, been involved in several full life cycle implementations, system upgrades and migration with large companies in a variety of industries.Performed detailed analysis of customer business processes and requirements to produce custom solution specifications for complex and large projects. Defined and architected the design for custom solutions. Provided direction to development teams for custom solution realization and participate, as necessary, in coding, testing, documentation, and maintenance support activities.Led various process teams like Order-to-cash and Procure-to-pay to achieve business process improvements. Played different cross functional leadership roles like integration lead, cutover coordinator and guided the team through different phases of project implementation life cycle."
in-andrecbarretto,"São Paulo Area, Brazil",Tecnologia da informação e serviços,July 2012,Alliances & Partnership Director - Digital Identity,Serasa Experian,Ernst & Young,"Professional experience gained over twelve years working with Systems Audit and Consulting, Data Management and Analysis, Project Management, Internal Audit, Software Development and IT in the commercial area. I joined Deloitte Touche Tohmatsu (coming from Arthur Andersen), since 2000, as a Supervisor / Senior IT Consultant on the Department of Risk Consulting. Add to my skills, in the last seven years: management activities, sales and marketing development of the IT industry.Spirit of leadership, people development and negotiation skills complement my broad profile.Since May 2010 working on a project of international consulting.SUMMARY OF QUALIFICATIONS* Experience in business development and commercial area involving product development, definition of business strategies, negotiation strategies, customer prospecting and closing deals.* Expertise in analysis and data management, risk management, development and deployment of enterprise solutions, systems integration, application of Technologies.* Know how in project management working in the planning, implementation and monitoring, feasibility studies, technical and financial resource management tasks and setting priorities, design and coordination processes, technical specifications, analysis of solutions, interface among customers and technical staff, development and presentation of management reports.* International experience with an IT solutions’ focus, in multicultural projects developed in several European countries (UK, Germany, France, Italy, Portugal), USA and Africa.* Teams Leadership, working in education, training, monitoring and managing multicultural teams."
in-andrefreitassilva,"Lisbon Area, Portugal",Tecnologia da informação e serviços,June 2010,Business & IT Consultant,LxIS - Lisbon Information Systems,Deloitte,Business & IT Consultant at LxIS - Lisbon Information Systems.
in-andreiafmnascimento,"Lisbon Area, Portugal",Consultoria de gerenciamento,September 2011,Senior Consultant,Deloitte Consulting,Deloitte,"So far I’ve been working in Public Sector and Financial Services Industry, supporting the implementation of new processes and procedures for the sourcing and procurement function, based on SAP Solutions (MM, SRM, MDM)."
in-andreicretu,Romania,Consultanță management,November 2011,Co-owner,Benefit Seven,PwC,"6 years of management consulting in Europe (mainly in CEE countries), having a strong functional focus on strategic and commercial topics (growth strategy, commercial due diligence, pricing, market entry strategies, business modeling etc.)Consulting experience in FMCG, Retail, Telecom, Media, Pharmaceuticals, Education, Banking, Utilities."
in-andrewambrose,"Kitchener, Canada Area",Wireless,September 2012,Instructional Designer,Aecon,KPMG,"Dynamic learning practitioner and management leader offers 15 years’ experience delivering educational development strategies and programs that drive productivity and profitability. Proven leader of learning practitioners that produce results through accurate assessment of needs, determining the right solution and successful deployment.I am passionate about the learning longtail for formal and informal learning solutions, leveraging social media and networking technology for learning projects, innovation through mLearning, collaborative learning and applying solutions that fit within the learners personal learning environment."
in-andrewdinwiddie,"London, United Kingdom",Accounting,September 2012,Commercial Business Partner,RSA,PwC,"Chartered Accountant, qualified in September 2009."
in-andrewparkersymbiosis,"Guildford, United Kingdom",Staffing and Recruiting,November 2002,Managing Director and Founder,Symbiosis Search,PwC,Experienced headhunter hiring for enterprise software vendors and SaaS companies across the EMEA region. Predominantly hiring within the sales and commercial functions at senior levels: sales; presales; alliances; marketing; business-focused professional services; general management. Hiring high-level individual contributors through to Senior VP roles.
in-andrewspike,"Amsterdam Area, Netherlands",Financiële services,March 2012,Director,Duff & Phelps,Deloitte,"Business and intangible asset valuation specialist with more than 15 years investment industry experience. Primary areas of focus include financial reporting valuations, purchase price allocations, and tax valuations. Regional focus is European, American and cross-border valuation issues.Graduated in 1995 with a degree in business administration and have been a CFA charterholder since 2002. At present, I am a candidate for the senior appraiser charter from the American Society of Appraisers. I have lectured on valuation topics within Deloitte, at the University of Groningen and on behalf of the American Society of Appraisers."
in-angelajones,Greater Nashville Area,Information Technology and Services,April 2012,Sr. Accnt Mgr,Core BTS,Deloitte,"*************************************************************************************************One benefit of having growing business is being selective in who you do business with. We choose to work with Angela because she quickly understands our project objectives and delivers solutions and guidance that has consistently enhanced our business. Angela knows our business and our position in the marketplace, our trust in her is based on her years of experience and successes. Business relationships range from lifelong to fleeting, enjoyable to strained... our relationship with Angela is trending towards long, happy and productive.Merlin ClarkeCo-Owner Dogeared Jewels and Gifts*************************************************************************************************"
in-angelarakow,Washington D.C. Metro Area,Government Relations,October 2012,Proposal Manager,Akima LLC,Deloitte,"Driven and detailed-oriented proposal coordinator with experience in leading professionals through the Federal proposal development process. This includes proper interpretation of solicitation requirements, strategy, compliance, schedule management and bringing an innovative approach to problem solving. Collaborates with team members to translate ideas into successful bids, and works with production teams to produce quality materials in a variety of media. Creative, highly motivated individual with excellent ability to organize time, seek out necessary resources, coordinate multiple projects and supervise teams. Holds an ACTIVE secret clearance."
in-angellaclarkejervoise,Bahrain,Management Consulting,September 2011,Authentic Vocation Career Coaching & Transformational Success Coaching,Career Coach Institute,Ernst & Young,"15 years experience in recruitment and sourcing senior level hires. I'm also an international career coach.I began my  'People' career working in my home country of Australia, followed by 9 years in the London market. Since 2009 I have been based in the Middle East, initially developing Ernst & Young's Middle East & North Africa recruitment function, transitioning in 2011 to a role leading EY's EMEIA Partner recruitment iniatives.As a career coach I assist people around the globe who are seeking to change vocation, manage their transitioning career or simply to uncover what it is that they really want to do. Expat professionals or those at mid-career are a core group.My practical experience includes leading teams (local, virtual and shared services), building and implementing recruitment strategy, international vendor management, change management and performance management. A trained facilitator of workshops including advanced interviewing skills, I'm also a certified TRACOM Social Style coach, have Level A & B training and am certified in Saville Consulting's 'Wave' psychometric tool."
in-anitaetheridge,"London, United Kingdom",Accounting,November 2009,Tax manager,SHL Group Ltd. a CEB company,KPMG,Anita spent 10 years at KPMG working in both the Financial Services sector and latterly with the Consumer and Industrial Markets group. Prior to this she spent 8 years working in the tax department at CSFB working across all taxes
in-ankurbansal1,"New Delhi Area, India",Venture Capital & Private Equity,July 2012,Director,Zuna Capital Partners,PwC,"I am an experienced advisor to private businesses, high networth individuals, investors and emerging businesses. I have broad experience in all aspects of accounting, taxation, structuring and financial management.Direct experience with real estate, start ups and FMCG industry. Interested in growing businesses, early-stage startups as well as companies looking for expansion."
in-annaanpilogova,Belarus,Accounting,March 2011,Tutor - DipIFR preparation training,HOCK Training,Deloitte,"8 years of experience in audit, IFRS reporting, lecturing on IFRS"
in-anncbennett,Greater Denver Area,Financial Services,September 2004,CEO,"KBA & Associates, Inc.",PwC,"Executive leader who develops and executes winning strategies.*13 years of leadership with top firms PricewaterhouseCoopers, Deloitte & Touche in Audit, Tax, and Consulting* 15 years consistent success in starting, building profitable and valued Companies returning 1000% to investors in one sale.*Experienced leader and specialist in identifying and capturing business opportunities and positioning companies for next level of growth, merger or sale.*Recognizing PC trends in pioneering solution saving clients $1,000,000s of dollars in compliance fees*Forensic Audit resulting in 22 material SEC and tax issues.* Forensic Audit discovering in excess of $1,000,000 in a tax avoidance scheme.*Identified strategic issues merger 2 public Uranium CosOpen to discussing opportunities. Contact me at: :►►►abennett02@gmail.com◄◄◄All Invitations to Connect Welcome. One of my goals on LinkedIn is in these challenging times to use this medium to make a difference in the business community.LION - LinkedIn Open Networker****************Recruiters, HR Managers, Hiring Managers connect with me to get access to my network deep in industry leadership.****************Professional Experience:Business development executive with broad experience in all aspects of accounting, tax, auditing and financial management. Successfully started, developed and sold two companies. Consulted in mergers and buyout financial structures. A Director in 3 big 4 auditing firms and independent consultant with the 4th. My background provides me the experience to provide both upstream into strategy and downstream into integration, structure and finance.Professional Goals:Interested in being involved at the executive level of a fast developing private or public company. As one who knows innovation that can achieve returns quickly I can contribute to maximizing the returns on the Company's vision.To brainstorm and collaborate, feel free to call me at 303.324.1388."
in-anneketruijen,"Nijmegen Area, Netherlands",Informatieservices,June 2011,Informatieanalist - Projectmanager,Stg. De Zorgboog,Deloitte,"Enthousiast, gedreven en loyaal persoon met een van nature service- en klantgerichte instelling. Altijd op zoek naar mogelijkheden om processen, systemen of diensten te verbeteren voor klant en organisatie.Kan me vastbijten in een onderwerp zonder daarbij het hogere doel uit het oog te verliezen. Beschik over een HBO+ werk- en denkniveau, ben communicatief en sociaal vaardig, innovatief, nauwgezet en in staat snel nieuwe kennis op te nemen en toe te passen.Functioneer goed in teamverband als ook zelfstandig. Geloof in samenwerking op basis van vertrouwen en het dragen van eigen verantwoordelijkheid."
in-anthonywhatling,"London, United Kingdom",Accounting,November 2005,"Senior Manager - Private Client Tax, High Net Worth Individual, Private Wealth",BDO LLP,Ernst & Young,"I am a Senior Tax Manager in the Private Wealth team within the Private Client Tax department with over 8 years’ tax experience, providing tax consultancy services to High Net Worth Individuals, Entrepreneurs and their businesses.We assist our clients with structuring their family and business interests in a tax efficient manner based on their personal, family and business objectives.Get in touch for further details on how our private client tax services can help you or your clients:anthony.whatling@bdo.co.uk, 020 7893 3533My particular areas of expertise are:- wealth and business structuring for High Net Worth Individuals and their businesses;- trust and offshore company planning, inheritance tax planning- liaisng with HMRC; and- remuneration planning, including employee benefit trust expertise, for Owner Managed Businesses."
in-antoniobernal,United States,Computer Software,February 2012,CRM and Incentive Compensation Management Professional - Sales Transformation / ICM Specialty,Accenture,Deloitte,"Antonio has dual citizenship in Mexico and the U.S.A., and is authorized to work for both countries.Business and Technical Proficiency throughout an 18+year career.Results-driven, internationally experienced IT Professional with notable career reflecting multi-year Customer Relationship Management (CRM) experience, Project Management, hands-on implementation abilities, coupled with strong leadership and multilingual skills.Credit Risk Management and Banking background. Relentlessly focused on profitable, business-driven IT results using proven, methodical and flexible approach.A highly motivated Executive with robust communication and team building skills."
in-antoniogarciaalonso,"Madrid Area, Spain",Servicios y tecnología de la información,April 2011,Consultor de Negocio,Business Integration Partners,PwC,"Consultor de Negocio enfocado al desarrollo de proyectos de Análisis, Diseño y Optimización de procesos de negocio. Con experiencia relevantes en proyectos de Análisis, Definición y Rediseño y Dimensionamiento organizativo, Análisis y Diseño de Estrategias de puesta en marcha e Implantación de Sistemas de Gestión y Reingeniería y Estandarización de procesos."
in-aqueelmalik,United Arab Emirates,Telecommunications,January 2011,Director Performance Management,Etisalat Group,KPMG,Significant expertise in- advisory at executive management and Board levels- strategy development- strategy management and execution- business performance management- organisational alignment with strategyCurrently advising at Board and Executive Management levels
in-aretis,Greece,Information Technology and Services,April 2011,IT Auditor / Data Analyst,Delhaize Group - ΑΒ Βασιλόπουλος,Ernst & Young,"From the position of Internal IT Auditor / Data Analyst, now working in the Retail Sector, performing IT Audits (focused on Security, Compliance and Business Process Controls) and Corporate Data Analysis.I was working as an IT Auditor/Analyst gaining experience in both supporting Financial Audits and Advisory Projects. I have built an expertise in the following:Risk AssessmentsCompliance (Basel II, SOX, ISO27001, CoBit, Solvency II)IT AuditsPKIBusiness Continuity ManagementIT Strategic PlanningSecurity Policy ManagementI have built my expertise in the FSO sector, working mainly with clients from the Banking and Insurance sector."
in-arpanjha,"Bengaluru, Karnataka, India",Internet,April 2012,"Head, Products and Market Strategy",PromptCloud,KPMG,"Interested in product management and operational strategies in a start-up environment. Experienced in using various web technologies for large-scale data crawl and extraction.Certified Scrum Master (CSM) and carry broad experience in software engineering activities across the development lifecycle ranging from requirements management, estimation, product roadmap and development. Also worked on ERP implementation projects and certified at an Associate level in SAP-Financials."
