Souce,Sink,Connected
3807533,3571822,1
2044305,3571822,1
1108399,3571822,1
1135357,3571822,1
3441402,3571822,1
2660841,3571822,1
2619379,4186227,1
2984603,4186227,1
2057013,4186227,1
1699324,4186227,1
448823,4186227,1
714035,4186227,1
2930986,1310839,1
1696837,1310839,1
1638122,1310839,1
3926802,1310839,1
3719502,1310839,1
650905,1310839,1
20388,1187964,1
2619379,1187964,1
2984603,1187964,1
1247754,1187964,1
2926541,1187964,1
4302499,1187964,1
1360006,2132445,1
1360006,4400506,1
1360006,711824,1
1360006,4504715,1
1360006,2566765,1
1360006,986508,1
3645574,2491242,1
3645574,4259551,1
3645574,3620289,1
3645574,4695974,1
3645574,1786256,1
3645574,2653533,1
1220744,787023,1
1220744,4732134,1
1220744,2445838,1
1220744,4721899,1
1220744,4429879,1
1220744,141680,1
2250898,1548423,1
958601,4756165,1
958601,2485220,1
958601,460200,1
958601,1506544,1
958601,1731912,1
958601,3049092,1
613826,2449547,1
1403971,4161676,1
2603095,4161676,1
2638090,4161676,1
20388,4571277,1
2619379,4571277,1
2984603,4571277,1
2177945,4571277,1
888836,4571277,1
1699324,4571277,1
4350093,1227299,1
4350093,3583882,1
4350093,718939,1
4350093,3718261,1
4350093,883426,1
4350093,3903309,1
4251792,2970413,1
4251792,3598156,1
4251792,1684505,1
4251792,191907,1
4251792,583821,1
4251792,3312102,1
20388,90257,1
3247133,90257,1
740572,90257,1
2809092,90257,1
4416976,90257,1
1541421,90257,1
2105491,4315961,1
2105491,3624100,1
2105491,4857908,1
2105491,52235,1
2105491,3198433,1
2105491,3823314,1
1630356,1724002,1
1630356,1167304,1
1630356,2140916,1
1630356,1933544,1
1630356,1048101,1
1630356,2520699,1
671895,1690853,1
671895,1702417,1
671895,4093168,1
671895,3171940,1
671895,2144405,1
671895,3687549,1
3247133,852119,1
740572,852119,1
3553485,852119,1
2809092,852119,1
2809458,852119,1
4790649,852119,1
245914,720274,1
245914,3728128,1
245914,888946,1
245914,4325806,1
245914,1607510,1
245914,631874,1
4669595,56463,1
4669595,4144466,1
4669595,784073,1
4669595,2861239,1
4669595,3068641,1
4669595,4374886,1
155804,3817210,1
155804,1109441,1
155804,373098,1
155804,1689039,1
155804,4095572,1
155804,2802069,1
2506906,3052373,1
2506906,2736989,1
2506906,1607496,1
2506906,1067820,1
2506906,1726133,1
2506906,437237,1
1403971,975007,1
663713,3829041,1
663713,1425397,1
663713,152227,1
663713,1712952,1
663713,4737429,1
663713,4294076,1
4022436,2911433,1
4022436,448823,1
4022436,2283079,1
4022436,341660,1
4022436,3701591,1
4022436,1775657,1
714035,8356,1
3465568,8356,1
3247133,8356,1
745007,8356,1
2809458,8356,1
2309487,8356,1
3023014,788499,1
3023014,423750,1
3023014,3533809,1
3023014,322705,1
3023014,746278,1
3023014,3679146,1
20388,3653797,1
2619379,3653797,1
1061533,3653797,1
2984603,3653797,1
2057013,3653797,1
1699324,3653797,1
3432616,415870,1
3432616,2242459,1
3432616,3053774,1
3432616,3645113,1
3432616,2399568,1
3432616,2555994,1
3031208,2151850,1
3031208,4246714,1
3031208,2270612,1
3031208,4038926,1
3031208,472545,1
3031208,1598835,1
1450153,3065172,1
1450153,2475700,1
1450153,2359631,1
1450153,1710577,1
1450153,3732858,1
1450153,2268771,1
1695915,20388,1
1695915,2603544,1
1695915,315203,1
1695915,916282,1
1695915,269579,1
1695915,4662964,1
3104940,1684970,1
3104940,64925,1
3104940,752344,1
3104940,3054724,1
3104940,4270291,1
3104940,1901281,1
2309487,1048746,1
3938534,1048746,1
4265509,1048746,1
751812,1048746,1
3126541,1048746,1
1351195,1048746,1
3317934,1322106,1
3317934,454478,1
3317934,141680,1
3317934,652600,1
3317934,445710,1
3317934,1405776,1
2984603,639157,1
98402,639157,1
1660431,639157,1
2120801,639157,1
3278181,639157,1
1601895,639157,1
3989690,1365243,1
3989690,4445347,1
3989690,3236672,1
3989690,4443065,1
3989690,3376555,1
3989690,2073177,1
2187451,2263331,1
2187451,204012,1
2187451,215846,1
2187451,4266066,1
2187451,3063925,1
2187451,4175913,1
745007,4710588,1
254581,4710588,1
1341632,4710588,1
4265509,4710588,1
2460721,4710588,1
3926802,4710588,1
20388,2556091,1
3314478,2556091,1
1802489,2556091,1
2808502,2556091,1
2619379,2556091,1
1699324,2556091,1
1196225,2062768,1
1196225,973374,1
1196225,585517,1
1196225,4833399,1
1196225,1803629,1
1196225,2931986,1
621120,2031809,1
876619,2031809,1
1279353,2031809,1
2938765,2031809,1
1038930,2031809,1
1230467,2031809,1
3691952,2351301,1
1763327,762056,1
2433389,762056,1
3824346,762056,1
759828,762056,1
1629000,762056,1
4259589,762056,1
786633,809982,1
786633,2384203,1
786633,2529192,1
786633,3126590,1
786633,3266869,1
786633,4208139,1
20388,311498,1
2619379,311498,1
2984603,311498,1
2930986,311498,1
448823,311498,1
1793311,311498,1
3552495,4669648,1
3691952,4669648,1
2809458,4669648,1
865815,4669648,1
4265509,4669648,1
1763327,4669648,1
20388,4587728,1
3691952,4587728,1
740572,4587728,1
745007,4587728,1
2809092,4587728,1
2177982,4587728,1
2549365,2277589,1
4544917,2277589,1
343716,2277589,1
3749953,2277589,1
504848,2277589,1
4011933,2277589,1
2549365,3547349,1
3174668,3547349,1
3314478,3547349,1
2445753,3547349,1
1953662,3547349,1
1260507,3547349,1
1630423,2555088,1
1630423,247783,1
1630423,3101656,1
1630423,4501171,1
1630423,940033,1
1630423,2731221,1
4505818,4227478,1
4505818,3515653,1
4505818,1511425,1
4505818,17394,1
4505818,965908,1
4505818,1906410,1
2719963,727639,1
2719963,2261391,1
2719963,871688,1
2719963,2577937,1
2719963,4495877,1
2719963,1898939,1
3039452,2407130,1
3039452,2224788,1
3039452,1242707,1
3039452,3585381,1
3039452,2936316,1
3039452,4541344,1
1360090,1136118,1
1360090,4847918,1
1360090,2753102,1
1360090,2171187,1
1360090,4103998,1
1360090,4308198,1
2984603,3743967,1
2177945,3743967,1
448823,3743967,1
4813076,3743967,1
1505741,3743967,1
3460792,3743967,1
1438125,2064607,1
2553285,2064607,1
3857721,2064607,1
2757027,2064607,1
4052990,2064607,1
2619379,2064607,1
2810556,4161763,1
1635105,4161763,1
2405212,4161763,1
3821322,4161763,1
3224468,4161763,1
3732617,4161763,1
2982118,3074136,1
2982118,4125389,1
2982118,2278898,1
2982118,2747451,1
2982118,656388,1
2982118,3453238,1
1260507,1450214,1
2984603,1450214,1
4716010,1450214,1
714035,1450214,1
3465568,1450214,1
1311163,1450214,1
714035,3113197,1
3247133,3113197,1
740572,3113197,1
745007,3113197,1
2309487,3113197,1
4416976,3113197,1
20388,1835245,1
2984603,1835245,1
888836,1835245,1
4851622,1835245,1
4332049,1835245,1
2809458,1835245,1
4052990,4554989,1
1793311,4554989,1
2810556,4554989,1
4668030,4554989,1
4595137,4554989,1
2726331,4554989,1
319732,3316977,1
319732,2015738,1
319732,3177922,1
319732,3328639,1
319732,1052340,1
319732,2086937,1
20388,475380,1
2757027,475380,1
2452371,475380,1
4121411,475380,1
3292454,475380,1
2968005,475380,1
2752758,3061931,1
2752758,3584952,1
2752758,4445347,1
2752758,3622354,1
2752758,621120,1
2752758,4828802,1
20388,4743417,1
2619379,4743417,1
2930986,4743417,1
1793311,4743417,1
714035,4743417,1
3465568,4743417,1
1865592,3096828,1
666255,3096828,1
3162560,3096828,1
1122066,3096828,1
3904947,3096828,1
4071902,3096828,1
573693,3293066,1
573693,80372,1
573693,1287527,1
573693,1837971,1
573693,3066550,1
573693,2343104,1
2856321,1990908,1
614019,1990908,1
3824346,1990908,1
285814,1990908,1
148777,1990908,1
4725536,1990908,1
2089216,3082506,1
2089216,4846788,1
2089216,862645,1
2089216,4503568,1
2089216,117457,1
2089216,2328390,1
1599992,368896,1
1381254,368896,1
4175026,368896,1
3246139,368896,1
3916610,368896,1
2748192,368896,1
20388,3145991,1
3376555,3145991,1
3314478,3145991,1
4052990,3145991,1
2619379,3145991,1
2984603,3145991,1
319752,1910777,1
319752,1500574,1
319752,1455447,1
319752,2031872,1
319752,1791647,1
319752,3368687,1
3318025,993017,1
3318025,4167373,1
3318025,4236713,1
3318025,994920,1
3318025,1354851,1
3318025,2081746,1
2638090,1032931,1
2638090,358827,1
2638090,2401401,1
2638090,2233917,1
2638090,4742068,1
2638090,605560,1
2258984,3375372,1
3424526,1868483,1
3424526,1414919,1
3424526,2645195,1
3424526,1631576,1
3424526,1893642,1
3424526,2435976,1
1220879,4679545,1
1220879,493002,1
1220879,3101377,1
1220879,637492,1
1220879,4799859,1
1220879,1135932,1
2791664,4268303,1
919552,4268303,1
377102,4838603,1
377102,826311,1
377102,4722800,1
377102,4418865,1
377102,1045098,1
377102,3616021,1
2619379,3784976,1
2984603,3784976,1
448823,3784976,1
714035,3784976,1
4673870,3784976,1
3247133,3784976,1
714035,3162385,1
3465568,3162385,1
3247133,3162385,1
740572,3162385,1
2661137,3162385,1
346796,3162385,1
729364,2102888,1
729364,4817421,1
729364,2495079,1
729364,3737056,1
729364,135390,1
729364,4699529,1
2619379,2048276,1
838809,2048276,1
808306,2048276,1
3938534,2048276,1
4265509,2048276,1
2680868,2048276,1
20388,532755,1
2757027,532755,1
2808502,532755,1
2984603,532755,1
1699324,532755,1
3691952,532755,1
20388,1081619,1
448823,1081619,1
2661137,1081619,1
2354917,1081619,1
2302041,1081619,1
2740141,1081619,1
20388,3588368,1
4333556,4677915,1
275639,4677915,1
1570326,4677915,1
3643931,4677915,1
1461683,4677915,1
1835930,4677915,1
1548572,4391370,1
1548572,3218497,1
1548572,635595,1
1548572,2054763,1
1548572,3348807,1
1548572,2646775,1
1122,327965,1
3691952,327965,1
4687539,327965,1
3872353,327965,1
816934,327965,1
3185337,327965,1
20388,1802531,1
448823,1802531,1
714035,1802531,1
740572,1802531,1
745007,1802531,1
2809092,1802531,1
3473703,3873589,1
20388,2392359,1
1669733,2392359,1
2930986,2392359,1
714035,2392359,1
3465568,2392359,1
376921,2392359,1
487639,1540392,1
3162560,1540392,1
230330,1540392,1
1682535,1540392,1
1808958,1540392,1
1208681,1540392,1
1376558,3856703,1
1376558,2417116,1
1376558,1856219,1
1376558,3411718,1
1376558,1442043,1
1376558,2425006,1
2810159,1601970,1
2810159,3104940,1
2810159,3574892,1
2810159,4073490,1
2810159,3918144,1
2810159,3698625,1
2757027,598319,1
2619379,598319,1
2984603,598319,1
1699324,598319,1
714035,598319,1
3465568,598319,1
4202801,2456035,1
4202801,3045340,1
4202801,1889229,1
4202801,4767681,1
4202801,3904221,1
4202801,1371000,1
1989693,3350833,1
4113317,3350833,1
2083489,3350833,1
4213082,3350833,1
4229621,3350833,1
2146706,3350833,1
20388,3121459,1
4699022,3121459,1
3465568,3121459,1
2652094,3121459,1
1955823,3121459,1
644282,3121459,1
3318070,3593265,1
3318070,2740141,1
3318070,3420045,1
3318070,832500,1
3318070,1151453,1
3318070,560307,1
2253113,250633,1
2253113,911914,1
2253113,168928,1
2253113,1535237,1
2253113,1848259,1
2253113,1996477,1
4170044,2484064,1
4170044,3817046,1
4170044,4032328,1
4170044,613826,1
4170044,4213521,1
4170044,129625,1
4052990,336189,1
2742606,336189,1
3247133,336189,1
2809092,336189,1
2120801,336189,1
4790649,336189,1
401726,947762,1
401726,4583140,1
401726,1509585,1
401726,4044850,1
401726,3714595,1
401726,4695813,1
1660431,3391808,1
892193,3391808,1
2958869,3391808,1
1944893,3391808,1
1999122,3391808,1
1182828,3391808,1
3356514,3277122,1
4300156,3277122,1
2029427,3277122,1
1152893,3277122,1
2265690,3277122,1
4849585,3277122,1
3383620,3177115,1
3383620,2097501,1
3383620,3084742,1
3383620,3724973,1
3383620,892636,1
3383620,1989292,1
2619379,4399430,1
2984603,4399430,1
1699324,4399430,1
98402,4399430,1
2120801,4399430,1
1324992,4399430,1
2957639,136256,1
2957639,2451199,1
2957639,2319463,1
2957639,2412805,1
2957639,4593423,1
2957639,3159971,1
188743,965744,1
188743,1739606,1
188743,1537831,1
188743,3835413,1
188743,2472584,1
188743,2960239,1
2638090,3785031,1
1655116,1198015,1
1655116,311285,1
1655116,584580,1
1655116,4152106,1
1655116,3870584,1
1655116,904767,1
2359631,423159,1
2359631,1427563,1
2359631,4167963,1
2359631,1872714,1
2359631,1803437,1
2359631,4863823,1
1327440,3146579,1
1327440,2863263,1
1327440,599812,1
1327440,786636,1
1327440,4433851,1
1327440,2630525,1
4358480,593850,1
4358480,1613350,1
4358480,2661607,1
4358480,1385990,1
4358480,4498876,1
4358480,1029637,1
1450320,1191821,1
1450320,3265909,1
1450320,2609755,1
1450320,3808612,1
1450320,2652429,1
1450320,2231972,1
2549365,4727122,1
3376555,4727122,1
1419298,4727122,1
4454175,4727122,1
448545,4727122,1
4040310,4727122,1
1073493,274699,1
1073493,1877811,1
838809,4858197,1
506389,4858197,1
1364292,4858197,1
691232,4858197,1
2177982,3195222,1
2271524,3195222,1
3133826,3195222,1
1114252,3195222,1
4637516,3195222,1
4220402,3195222,1
714035,614747,1
3465568,614747,1
4673870,614747,1
3200364,614747,1
3247133,614747,1
745007,614747,1
3531100,4515206,1
3531100,2507990,1
3531100,3361038,1
3531100,1701516,1
3531100,4088828,1
3531100,263976,1
3816665,1696091,1
2549365,2064734,1
3376555,2064734,1
3174668,2064734,1
3314478,2064734,1
3670317,2064734,1
848620,2064734,1
3248527,1499488,1
2474330,1499488,1
3797985,1499488,1
2098153,1499488,1
606562,4138699,1
606562,4238028,1
606562,4319500,1
606562,4251373,1
606562,3213642,1
606562,417274,1
3531111,4138835,1
3531111,3869568,1
3531111,21270,1
3531111,3091111,1
3531111,958972,1
3531111,3277323,1
942440,1259069,1
942440,3179236,1
942440,2921360,1
942440,3556835,1
942440,4776796,1
942440,4323277,1
4604264,2648809,1
4604264,1402072,1
4604264,4445347,1
4604264,3572067,1
4604264,3756910,1
4604264,4445296,1
1687914,2287536,1
1687914,2020082,1
1687914,3487024,1
1687914,583821,1
1687914,3064769,1
1687914,1962108,1
2761066,4751268,1
2761066,594623,1
2761066,3733523,1
2761066,2549418,1
2761066,4517807,1
2761066,3599043,1
3318124,3532947,1
3318124,240194,1
3318124,914831,1
3318124,1582392,1
3318124,3267513,1
3318124,2500371,1
2495727,4194667,1
2014945,4194667,1
1122066,4194667,1
1761338,4194667,1
4862401,4194667,1
1638122,4194667,1
3465568,909677,1
3104940,909677,1
2957222,909677,1
1056812,1483116,1
810316,1483116,1
1471291,1483116,1
4464311,1483116,1
4600810,1483116,1
3410184,49513,1
3760414,49513,1
2916240,4039025,1
3116573,4039025,1
261200,4039025,1
4445347,4039025,1
876619,4039025,1
1908453,4039025,1
20388,876913,1
2177945,876913,1
1793311,876913,1
1665526,876913,1
4588320,876913,1
2651013,876913,1
541055,3528118,1
541055,1417034,1
541055,3834665,1
541055,3183396,1
541055,2557926,1
541055,4386911,1
3441024,3070720,1
3441024,1944960,1
3441024,2122737,1
3441024,552117,1
3441024,3871005,1
3441024,178287,1
20388,262528,1
1146906,262528,1
2549365,262528,1
1812114,262528,1
3314478,262528,1
1042163,262528,1
4563330,3963790,1
4563330,4582553,1
4563330,3727945,1
4563330,715635,1
4563330,2952773,1
4563330,471354,1
1802489,287108,1
2757027,287108,1
2619379,287108,1
1793311,287108,1
714035,287108,1
376921,287108,1
2057013,1433994,1
448823,1433994,1
1660431,1433994,1
4262760,1433994,1
4679263,1433994,1
2661137,1433994,1
4612494,3724969,1
4612494,3413319,1
4612494,435547,1
4612494,389360,1
4612494,1792465,1
4612494,1996181,1
4342160,2925611,1
4342160,4699529,1
4342160,1832845,1
4342160,4514994,1
4342160,3347977,1
4342160,849168,1
1499536,3675656,1
1499536,1623825,1
1499536,4707391,1
1499536,4612111,1
1499536,3916638,1
1499536,4686294,1
4052990,82320,1
3247133,82320,1
2809092,82320,1
2309487,82320,1
2810556,82320,1
4204052,82320,1
2883988,2756968,1
2883988,4783278,1
2883988,4458873,1
2883988,596420,1
2883988,197314,1
2883988,1227244,1
1541421,1597846,1
2480720,1597846,1
4495993,1597846,1
4595137,1597846,1
262985,1597846,1
3889783,1597846,1
4366747,2980224,1
4366747,4543892,1
4366747,3634307,1
4366747,3886501,1
4366747,897738,1
4366747,4850818,1
3465568,303517,1
4673870,303517,1
740572,303517,1
2120801,303517,1
4096612,303517,1
2969511,303517,1
1147295,4094099,1
1147295,3217890,1
1147295,2442860,1
1147295,3330700,1
1147295,1336419,1
1147295,2236252,1
434593,2997147,1
434593,4610000,1
434593,2566394,1
434593,4534165,1
434593,1337259,1
434593,1805922,1
336290,1099369,1
336290,155674,1
336290,2159274,1
336290,1496343,1
336290,375905,1
336290,1488244,1
2089379,2535913,1
2089379,3450878,1
2089379,1587481,1
2089379,4350608,1
2089379,4385735,1
2089379,1891994,1
20388,82340,1
4007276,82340,1
2808502,82340,1
3065239,82340,1
717002,82340,1
2984603,82340,1
1704367,2661831,1
1704367,1378448,1
1704367,2919471,1
1704367,4251922,1
1704367,4851059,1
1704367,3335000,1
2679215,280370,1
2679215,3811702,1
2679215,3316161,1
2679215,2175640,1
2679215,2011354,1
2679215,1972472,1
1974705,3240041,1
1974705,1690853,1
1974705,602623,1
1974705,1419315,1
1974705,4613928,1
1974705,4095754,1
3398222,410037,1
3565814,4383159,1
3584952,4383159,1
979757,4383159,1
1122024,4383159,1
3337956,4383159,1
1006458,4383159,1
1139129,3021179,1
1139129,4673128,1
1139129,56567,1
1139129,4402986,1
1139129,4039680,1
1139129,4291481,1
1917370,169198,1
1917370,3191742,1
1917370,4636624,1
1917370,552349,1
1917370,1541784,1
1917370,274279,1
4178366,2210034,1
4178366,454478,1
4178366,2935469,1
4178366,4861149,1
4178366,2783850,1
4178366,431391,1
1146906,1008064,1
3376555,1008064,1
2757027,1008064,1
2808502,1008064,1
2619379,1008064,1
1061533,1008064,1
3162560,2117883,1
3162560,4553946,1
3162560,4596192,1
3162560,1338479,1
3162560,3235141,1
3162560,41964,1
4866498,497382,1
4866498,2735665,1
4866498,4466893,1
4866498,1979927,1
4866498,1276201,1
4866498,3727661,1
2695621,4006946,1
2695621,1227365,1
2695621,4308710,1
2695621,3515529,1
2695621,4334507,1
2695621,1584779,1
1065417,2015251,1
1065417,4442959,1
1065417,1984402,1
1065417,4807740,1
1065417,4569559,1
1065417,1286731,1
2549365,2187723,1
848620,2187723,1
1802489,2187723,1
2757027,2187723,1
2619379,2187723,1
2984603,2187723,1
2984603,3056079,1
1699324,3056079,1
1559979,3056079,1
1660431,3056079,1
4813076,3056079,1
2120801,3056079,1
1712592,678261,1
1712592,1237497,1
1712592,1122854,1
1712592,760976,1
1712592,3802117,1
1712592,914583,1
1810899,218656,1
1810899,2911705,1
1810899,4824762,1
1810899,3967917,1
1810899,755513,1
1810899,3552393,1
2073048,2129315,1
2073048,3466566,1
2073048,3504137,1
2073048,2364188,1
2073048,2609299,1
2073048,3442794,1
4014552,2956481,1
3236313,2603255,1
3236313,1665373,1
3236313,3344472,1
3236313,2235006,1
3236313,2793634,1
3236313,3029767,1
3578438,3858906,1
1898377,3858906,1
1721979,3858906,1
3756319,3858906,1
4272040,3858906,1
3269084,2422514,1
3269084,4322839,1
3269084,1860484,1
3269084,1329262,1
3269084,1861159,1
3269084,351428,1
3547614,3552776,1
3547614,1320011,1
3547614,2002799,1
3547614,648703,1
3547614,2612944,1
3547614,3541947,1
2171358,128151,1
2171358,1808809,1
2171358,3078383,1
2171358,1187024,1
2171358,643212,1
2171358,1864912,1
2941407,3375294,1
2941407,4100575,1
2941407,3371786,1
2941407,2638288,1
2941407,915171,1
2941407,45169,1
3760607,3562648,1
3760607,4008942,1
3760607,3494621,1
3760607,3117644,1
3760607,3970088,1
3760607,1858374,1
3560632,4121054,1
2984603,696808,1
714035,696808,1
4673870,696808,1
3247133,696808,1
745007,696808,1
2809092,696808,1
500201,4330586,1
500201,2510158,1
500201,4310719,1
500201,1721413,1
500201,1455001,1
500201,1313655,1
1584516,1614313,1
2752092,1614313,1
156140,116897,1
156140,4050864,1
156140,1876003,1
156140,1810206,1
156140,2066519,1
156140,407575,1
2619379,1933805,1
2984603,1933805,1
1699324,1933805,1
98402,1933805,1
1660431,1933805,1
376921,1933805,1
1450478,3714854,1
1450478,2753232,1
1450478,3879329,1
1450478,918173,1
1450478,545107,1
1450478,3556835,1
4817391,3799178,1
4817391,1279353,1
4817391,940383,1
4817391,4267698,1
4817391,1317219,1
4817391,534089,1
3259421,3817973,1
4530678,1869338,1
4530678,3874031,1
4530678,4810481,1
4530678,351834,1
4530678,2233407,1
4530678,3337367,1
4052990,352759,1
4094697,352759,1
4148694,352759,1
181443,352759,1
62861,2408952,1
1875708,2408952,1
3824346,2408952,1
2483244,2408952,1
1050365,2408952,1
20388,2015738,1
2553285,2015738,1
2619379,2015738,1
1260507,2015738,1
319732,2015738,1
714035,2015738,1
144710,4563454,1
1589761,1769968,1
1589761,1529226,1
1589761,2084993,1
1589761,4544332,1
1589761,4381146,1
1589761,2489384,1
20388,4530690,1
2808502,4530690,1
2984603,4530690,1
4716010,4530690,1
3377456,4530690,1
745007,4530690,1
492035,3422841,1
492035,3575850,1
492035,216244,1
492035,4296283,1
492035,3375159,1
492035,595207,1
2243612,2597381,1
1270278,1780116,1
1270278,1544953,1
1270278,3839860,1
1270278,3704050,1
1270278,4048820,1
1270278,2396295,1
352777,3862369,1
352777,3942340,1
352777,1069341,1
352777,3636857,1
352777,1330461,1
352777,447493,1
2368011,1261906,1
2368011,4286760,1
2368011,3116164,1
2368011,2919460,1
2368011,1025061,1
2368011,1057528,1
714035,3727886,1
3247133,3727886,1
448545,3727886,1
4332049,3727886,1
2809092,3727886,1
3356514,3727886,1
410127,2102888,1
410127,3590624,1
410127,1605266,1
410127,2194084,1
410127,4085623,1
410127,3383892,1
4243983,1528488,1
4243983,271790,1
4243983,4075696,1
4243983,878846,1
4243983,1346688,1
4243983,3218556,1
1860112,4676644,1
1860112,915679,1
1860112,4629236,1
1860112,3193014,1
1860112,3312200,1
1860112,622571,1
2172256,3441172,1
20388,57883,1
888836,57883,1
714035,57883,1
3465568,57883,1
4794587,57883,1
3247133,57883,1
2619379,3703326,1
2177945,3703326,1
1699324,3703326,1
714035,3703326,1
3465568,3703326,1
4851622,3703326,1
