,city,cuisine
784,Surprise,breakfast
786,Pittsburgh,american
790,Streetsboro,mexican
809,Scottsdale,breakfast
811,Tempe,american
813,Pittsburgh,italian
816,Cornelius,italian
820,Markham,vietnames
821,Montréal,breakfast
832,Henderson,mexican
841,Montréal,mexican
842,Mississauga,chines
861,Boulder City,mexican
874,Phoenix,american
896,Calgary,thai
909,Mississauga,american
913,Phoenix,cafe
917,Charlotte,breakfast
920,Toronto,african
926,Paradise Valley,italian
928,Elyria,burger
933,Parma Heights,american
937,Phoenix,italian
940,Toronto,barbequ
945,Las Vegas,american
949,Toronto,italian
951,Toronto,french
962,Scottsdale,american
968,Pittsburgh,burger
970,Moon,breakfast
986,Charlotte,breakfast
987,Toronto,cafe
992,Toronto,breakfast
993,Maple,american
1001,North York,korean
1002,Toronto,mediterranean
1009,Westlake,mexican
1029,Pittsburgh,breakfast
1030,Phoenix,breakfast
1031,Montréal,burger
1037,Henderson,japanes
1042,Toronto,asian
1045,Henderson,american
1053,Scottsdale,breakfast
1055,Gilbert,chines
1056,Champaign,american
1057,Toronto,japanes
1060,Pittsburgh,italian
1068,Calgary,american
1071,Gilbert,american
1076,Blainville,barbequ
1086,Laval,vietnames
1095,Las Vegas,korean
1107,Calgary,cafe
1115,Vaughan,italian
1119,Calgary,vietnames
1128,Vaughan,burger
1130,Middleton,japanes
1133,Bolton,burger
1136,Toronto,american
1145,Pittsburgh,american
1164,Phoenix,barbequ
1166,Las Vegas,italian
1173,Brampton,caribbean
1175,Toronto,cafe
1190,Scottsdale,hawaiian
1200,Chandler,chines
1207,Brampton,american
1208,Las Vegas,breakfast
1213,North Ridgeville,barbequ
1219,Newmarket,american
1234,Etobicoke,chines
1235,Cleveland,asian
1236,Montréal,asian
1245,Calgary,american
1251,Solon,burger
1252,Cleveland,american
1271,Charlotte,mediterranean
1277,Rock Hill,american
1278,Peoria,burger
1279,Ajax,indian
1290,Charlotte,burger
1295,Etobicoke,vietnames
1299,Verona,italian
1308,Calgary,japanes
1309,Mississauga,japanes
1310,Gastonia,burger
1311,Montréal,french
1313,Toronto,cafe
1320,Las Vegas,breakfast
1324,Cleveland,breakfast
1326,Scarborough,chines
1341,Scottsdale,breakfast
1349,Las Vegas,barbequ
1357,Medina,american
1358,Scottsdale,american
1359,Las Vegas,burger
1373,Mississauga,indian
1389,Charlotte,italian
1397,Bradford,mediterranean
1407,Toronto,thai
1413,Las Vegas,vietnames
1441,Peoria,american
1443,Las Vegas,chines
1444,Montréal,turkish
1446,Madison,vietnames
1448,Tempe,breakfast
1449,Charlotte,american
1453,Mississauga,chines
1457,Cleveland Heights,italian
1460,Calgary,chines
1469,Las Vegas,mexican
1472,Phoenix,american
1478,Montréal,burger
1483,Charlotte,american
1492,North Las Vegas,breakfast
1498,Glendale,italian
1517,Las Vegas,american
1518,Calgary,indian
1524,Monroe,mexican
1530,Bolton,american
1531,Las Vegas,mexican
1534,Phoenix,mexican
1536,Toronto,vietnames
1539,Montréal,mexican
1552,Madison,american
1560,Las Vegas,vegetarian
1564,Scottsdale,japanes
1575,Brampton,indian
1584,Pittsburgh,italian
1627,Toronto,burger
1637,Parma,japanes
1641,Montréal,breakfast
1650,Fairlawn,american
1654,Calgary,italian
1655,Toronto,american
1662,Toronto,british
1664,Phoenix,indian
1668,Phoenix,cafe
1676,Toronto,american
1686,Toronto,cafe
1693,Avon Lake,mexican
1694,Scarborough,burger
1703,Wexford,mexican
1710,Surprise,cafe
1712,Calgary,american
1716,Pittsburgh,italian
1736,Medina,chines
1737,Phoenix,burger
1738,Toronto,burger
1743,Peoria,breakfast
1744,Las Vegas,vietnames
1745,Pittsburgh,american
1750,Montréal,german
1760,Phoenix,american
1780,Toronto,korean
1794,Cornelius,burger
1798,Akron,burger
1802,Tempe,cafe
1803,Brampton,indian
1814,Chandler,mexican
1817,Madison,american
1821,Richmond Hill,vietnames
1830,Scottsdale,american
1835,Charlotte,italian
1844,Pittsburgh,american
1846,Las Vegas,korean
1850,Phoenix,american
1852,Glassport,italian
1859,Toronto,cafe
1874,Toronto,italian
1879,Montréal,cafe
1880,Montréal,italian
1884,Toronto,caribbean
1890,Vaughan,japanes
1894,Henderson,brazilian
1905,Toronto,japanes
1908,Cleveland,american
1909,Cleveland,american
1916,Toronto,japanes
1922,Montréal,german
1927,Scottsdale,american
1933,Toronto,american
1936,Glendale,mediterranean
1941,Mississauga,american
1946,Madison,chines
1959,Charlotte,mexican
1962,Toronto,thai
1972,Tempe,mexican
1975,Las Vegas,american
1980,Montréal,japanes
1982,Charlotte,italian
1988,Fort Mill,barbequ
1994,Calgary,japanes
2002,Chandler,american
2006,Scottsdale,vietnames
2007,Pittsburgh,italian
2013,New Kensington,american
2022,Cleveland,vietnames
2023,Montréal,cafe
2030,Cleveland,italian
2036,Toronto,chines
2039,Las Vegas,mexican
2043,Las Vegas,asian
2054,Chandler,african
2057,Phoenix,american
2061,Las Vegas,barbequ
2070,Toronto,cafe
2071,Charlotte,vegetarian
2072,Phoenix,mexican
2076,Las Vegas,mexican
2078,Pittsburgh,japanes
2079,Calgary,vietnames
2084,Markham,chines
2085,Montréal,italian
2091,Toronto,barbequ
2098,Scottsdale,italian
2104,Cleveland,barbequ
2105,Vaughan,burger
2108,Henderson,thai
2113,Bridgeville,mexican
2116,Charlotte,chines
2119,Calgary,mexican
2123,Medina,breakfast
2126,Toronto,breakfast
2128,Toronto,asian
2143,Peoria,cafe
2144,Pittsburgh,american
2153,Henderson,american
2155,Charlotte,ethiopian
2158,Avon Lake,american
2160,Charlotte,cafe
2162,Toronto,chines
2167,Las Vegas,american
2177,Cleveland,cafe
2187,Las Vegas,mexican
2188,North York,italian
2191,Brampton,mediterranean
2192,Phoenix,mediterranean
2204,North Ridgeville,breakfast
2207,Solon,mexican
2208,Calgary,breakfast
2217,Fairlawn,american
2218,Pickering,caribbean
2220,Phoenix,vegetarian
2229,Toronto,japanes
2234,Mesa,mexican
2249,Charlotte,american
2257,Toronto,indian
2261,Solon,japanes
2265,North York,breakfast
2272,Scarborough,british
2277,Toronto,barbequ
2278,Charlotte,thai
2285,Medina,american
2294,Toronto,burger
2307,North York,cafe
2309,Urbana,asian
2320,Toronto,breakfast
2322,Madison,korean
2332,Vaughan,italian
2334,Markham,chines
2337,Toronto,breakfast
2342,Henderson,american
2347,Las Vegas,japanes
2358,Ajax,italian
2369,Brossard,vegetarian
2373,Mentor,american
2377,Las Vegas,asian
2385,Mississauga,burger
2389,Willoughby,cafe
2393,Scottsdale,american
2394,Vaughan,chines
2402,Richmond Hill,chines
2405,Vaughan,turkish
2407,Calgary,thai
2408,Madison,chines
2410,Charlotte,vietnames
2413,Pittsburgh,mediterranean
2425,Madison,american
2426,Harrison City,italian
2428,Cuyahoga Falls,american
2432,Calgary,chines
2435,Madison,burger
2436,Toronto,barbequ
2438,Avondale,chines
2450,Airdrie,chines
2453,Charlotte,american
2454,Charlotte,asian
2459,Las Vegas,burger
2464,Avondale,barbequ
2467,Toronto,burger
2475,Las Vegas,ethiopian
2479,Champaign,asian
2481,Scottsdale,american
2497,Toronto,thai
2500,Charlotte,korean
2506,Madison,vegetarian
2519,Westlake,american
2521,Rosemere,thai
2522,Henderson,cafe
2546,Glendale,barbequ
2555,Toronto,italian
2561,Montréal,burger
2567,Las Vegas,breakfast
2570,Mississauga,thai
2572,Phoenix,breakfast
2610,Charlotte,burger
2614,Cleveland,chines
2616,Phoenix,french
2623,Madison,japanes
2627,Montréal,thai
2632,Pittsburgh,american
2643,Las Vegas,burger
2648,Matthews,asian
2657,Mesa,korean
2658,Mesa,american
2662,Toronto,barbequ
2664,Lasalle,american
2672,Calgary,cafe
2673,Montréal,cafe
2674,Phoenix,mexican
2676,Pittsburgh,american
2678,Markham,breakfast
2693,Toronto,cafe
2696,Montgomery,burger
2713,Etobicoke,indian
2714,Cornelius,american
2715,Las Vegas,american
2726,Montréal,breakfast
2751,Madison,american
2754,Richmond Hill,breakfast
2756,Markham,chines
2758,Toronto,vegan
2766,Toronto,cajuncreol
2771,Tarentum,american
2774,Madison,cafe
2775,Las Vegas,vegetarian
2779,Ajax,breakfast
2784,Mesa,mexican
2786,Parma,chines
2794,Calgary,american
2797,Westlake,burger
2810,Cleveland,breakfast
2811,Glendale,breakfast
2815,Pittsburgh,italian
2817,Etobicoke,italian
2820,Scottsdale,american
2826,Montréal,burger
2832,Montréal,chines
2833,Pittsburgh,burger
2843,Toronto,american
2852,Toronto,cafe
2856,Warrensville Heights,mexican
2872,Toronto,korean
2879,Las Vegas,chines
2896,Montréal,portugues
2903,Calgary,vietnames
2906,Toronto,vietnames
2907,Lakewood,burger
2912,Las Vegas,american
2923,Phoenix,mexican
2935,Las Vegas,korean
2936,Markham,chines
2937,Monroeville,chines
2942,Chandler,breakfast
2944,Charlotte,vegan
2953,Cleveland,american
2963,Sun Lakes,american
2965,Mesa,thai
2969,Toronto,vegetarian
2975,Charlotte,mexican
2978,Toronto,cafe
2979,Cuyahoga Falls,burger
2982,Tempe,breakfast
2991,Montréal,turkish
2995,Phoenix,burger
2996,Charlotte,american
3007,Pittsburgh,american
3024,Phoenix,vietnames
3027,Chestermere,american
3033,Henderson,american
3035,Chandler,american
3036,Calgary,american
3037,Phoenix,breakfast
3039,Gilbert,italian
3043,Phoenix,burger
3048,Calgary,american
3050,Montréal,chines
3053,Westlake,american
3062,Pittsburgh,american
3063,Vaughan,italian
3065,Markham,chines
3066,Montréal,barbequ
3067,Las Vegas,chines
3071,Madison,breakfast
3076,Calgary,american
3078,Charlotte,british
3082,Toronto,cafe
3083,Davidson,mexican
3086,McFarland,burger
3093,Las Vegas,american
3094,Madison,american
3099,Phoenix,breakfast
3104,Pittsburgh,burger
3111,Matthews,cafe
3120,Las Vegas,chines
3129,Markham,japanes
3132,Pittsburgh,burger
3137,Gastonia,american
3138,Las Vegas,thai
3139,Calgary,italian
3146,Toronto,cafe
3156,Toronto,korean
3163,Dallas,american
3169,Toronto,chines
3181,Las Vegas,mexican
3183,Montréal,barbequ
3192,Urbana,burger
3194,Tempe,burger
3204,Pickering,mediterranean
3215,Phoenix,burger
3218,Huntersville,italian
3220,Charlotte,american
3225,Las Vegas,cafe
3228,Newmarket,american
3231,Mississauga,japanes
3236,Saint-Laurent,russian
3242,Ajax,arabian
3247,Davidson,american
3250,King,breakfast
3262,Las Vegas,american
3264,Chandler,mexican
3269,Charlotte,chines
3272,Stoughton,mexican
3277,Calgary,thai
3289,Brampton,chines
3291,University Heights,american
3298,Mentor,breakfast
3300,Phoenix,chines
3301,York,chines
3312,Stow,breakfast
3317,Charlotte,burger
3320,Toronto,breakfast
3329,Chandler,french
3332,Northfield,chines
3333,Las Vegas,asian
3337,Montréal,american
3353,Las Vegas,american
3354,Thornhill,korean
3357,Montréal,asian
3364,Toronto,korean
3370,Phoenix,burger
3373,Toronto,american
3377,Las Vegas,american
3391,Las Vegas,american
3393,Charlotte,cafe
3396,Charlotte,chines
3398,Calgary,indian
3400,Toronto,mexican
3413,Toronto,breakfast
3414,Library,american
3416,Cornelius,vietnames
3426,Las Vegas,burger
3435,Phoenix,american
3440,North Las Vegas,american
3445,Akron,german
3451,Champaign,american
3455,Scottsdale,caribbean
3458,Pittsburgh,japanes
3467,Madison,mexican
3470,Chandler,japanes
3473,Pittsburgh,mexican
3475,Phoenix,american
3477,Las Vegas,breakfast
3485,Mississauga,african
3489,Scarborough,burger
3493,Phoenix,vegetarian
3494,Mesa,mexican
3495,Las Vegas,barbequ
3497,Phoenix,chines
3500,Markham,japanes
3503,Mascouche,cafe
3509,Phoenix,mexican
3511,Vaughan,afghan
3514,Las Vegas,mexican
3516,Toronto,american
3524,Calgary,french
3531,Las Vegas,japanes
3532,Brampton,caribbean
3534,Brunswick,american
3540,Pittsburgh,mexican
3542,Toronto,barbequ
3548,Las Vegas,thai
3549,Oakville,thai
3557,Las Vegas,mexican
3558,Toronto,japanes
3561,Las Vegas,thai
3562,Monroeville,american
3566,Toronto,american
3573,Mississauga,chines
3579,Markham,chines
3585,Toronto,burger
3587,Eastlake,american
3588,Calgary,cafe
3607,Willoughby,american
3609,Glendale,american
3612,Mesa,mexican
3618,Phoenix,cafe
3619,Woodbridge,italian
3620,Scottsdale,american
3626,Las Vegas,american
3643,Chandler,breakfast
3648,Ajax,caribbean
3662,Charlotte,american
3664,Pittsburgh,cafe
3666,Tempe,american
3671,Toronto,caribbean
3673,Gilbert,vegan
3694,Cave Creek,mexican
3701,Pittsburgh,vegan
3710,Montréal,french
3712,Akron,american
3713,Chandler,burger
3724,Calgary,burger
3725,Toronto,vegetarian
3728,Pittsburgh,mexican
3732,Phoenix,moroccan
3734,Dorval,italian
3736,Urbana,mexican
3749,Lakewood,american
3752,Toronto,breakfast
3753,Toronto,malaysian
3768,Pittsburgh,american
3779,Chandler,american
3782,Las Vegas,american
3787,Mississauga,breakfast
3796,Montréal,french
3798,Calgary,vietnames
3804,Calgary,thai
3808,Cleveland,burger
3813,Toronto,breakfast
3817,Phoenix,american
3833,Mesa,thai
3835,Chandler,italian
3837,Parma,mexican
3847,Phoenix,american
3859,Tempe,american
3861,Phoenix,chines
3864,Canonsburg,burger
3865,Phoenix,burger
3868,Mesa,cafe
3869,Montréal,cafe
3873,Broadview Heights,american
3886,Toronto,mexican
3894,Oakville,mexican
3902,Markham,chines
3904,Amherst,american
3906,Vaughan,thai
3915,Tempe,italian
3916,Gilbert,american
3922,McKeesport,mexican
3925,Montréal,japanes
3931,Mentor,american
3934,Mississauga,burger
3935,Las Vegas,american
3937,Rocky River,chines
3939,Tempe,american
3953,Henderson,chines
3959,Scottsdale,indian
3960,Calgary,italian
3962,Brecksville,italian
3963,North Ridgeville,breakfast
3968,Scottsdale,chines
3969,Toronto,breakfast
3972,Scottsdale,american
3975,Mississauga,indian
3976,Murrysville,breakfast
3982,Cleveland,indian
3984,Glenshaw,italian
3987,Pittsburgh,american
3989,Phoenix,mexican
3991,Charlotte,cafe
3996,Markham,chines
4001,Verdun,indian
4012,Allison Park,breakfast
4020,Saint Joseph,mexican
4022,Sun Prairie,italian
4024,Las Vegas,american
4025,Davidson,italian
4037,Toronto,vegan
4038,Scottsdale,american
4056,Las Vegas,hawaiian
4071,Las Vegas,american
4072,Laval,italian
4073,Mayfield Heights,russian
4076,Glendale,vegetarian
4080,Willoughby,american
4082,Mesa,indian
4085,Phoenix,breakfast
4091,Mississauga,mediterranean
4094,Mentor,barbequ
4097,Charlotte,breakfast
4106,Chandler,burger
4112,Calgary,vietnames
4114,Charlotte,mexican
4116,Mississauga,mediterranean
4126,Mesa,breakfast
4128,Mississauga,breakfast
4136,Las Vegas,korean
4142,Montréal,asian
4149,Montréal,breakfast
4154,Huntersville,burger
4158,Toronto,japanes
4160,Henderson,american
4172,Mesa,mexican
4174,Middleton,chines
4188,Calgary,japanes
4189,Pittsburgh,american
4194,Mesa,mexican
4199,Pittsburgh,american
4204,Montréal,japanes
4212,North Las Vegas,korean
4220,Calgary,breakfast
4221,Richmond Hill,chines
4228,Scarborough,asian
4231,Toronto,chines
4238,Las Vegas,barbequ
4252,Calgary,burger
4255,Las Vegas,japanes
4257,Cleveland,cajuncreol
4270,Mesa,american
4271,Calgary,indian
4277,Fort Mill,mediterranean
4278,Toronto,american
4280,Toronto,indian
4282,Las Vegas,mexican
4283,Monroeville,american
4295,Phoenix,vegetarian
4299,Chandler,american
4305,Middleburg Heights,burger
4314,Charlotte,italian
4324,Madison,chines
4325,Concord,mexican
4333,Toronto,american
4339,Westlake,burger
4342,Madison,american
4344,Las Vegas,cafe
4345,Toronto,japanes
4353,Las Vegas,american
4355,Waxhaw,american
4356,Barberton,breakfast
4373,Las Vegas,burger
4376,Tempe,indian
4378,Toronto,cafe
4382,Charlotte,mediterranean
4383,Montréal,burger
4392,Cleveland,american
4399,Las Vegas,italian
4405,Charlotte,mexican
4406,Chandler,mexican
4414,Independence,american
4424,Las Vegas,thai
4426,North York,burger
4427,Las Vegas,chines
4428,Brampton,vegan
4434,Toronto,asian
4437,Charlotte,burger
4449,Phoenix,caribbean
4452,Mississauga,mexican
4453,Fort Mill,italian
4465,Scarborough,italian
4467,Boulder City,american
4472,Charlotte,burger
4478,Montréal,lebanes
4479,Charlotte,american
4480,Toronto,indian
4487,Mentor,american
4488,Litchfield Park,chines
4490,Toronto,burger
4491,Scottsdale,italian
4501,Scarborough,american
4503,Las Vegas,mexican
4505,Montréal,mediterranean
4513,Phoenix,burger
4519,Charlotte,american
4523,Scottsdale,burger
4524,Mississauga,chines
4525,Toronto,japanes
4527,Scarborough,british
4537,Middlefield,breakfast
4543,Stallings,italian
4544,Las Vegas,vegetarian
4547,Chandler,american
4549,Vaughan,japanes
4550,Tempe,mediterranean
4554,Pittsburgh,vegetarian
4562,Toronto,korean
4566,Las Vegas,hawaiian
4575,Toronto,italian
4577,Sun Prairie,breakfast
4599,Chandler,burger
4601,Montréal,italian
4609,Calgary,chines
4612,Madison,american
4616,Mesa,american
4619,Charlotte,mexican
4631,Phoenix,american
4636,Phoenix,asian
4637,Phoenix,burger
4639,Montréal,chines
4641,Calgary,burger
4644,Las Vegas,chines
4648,Brossard,barbequ
4656,Toronto,cafe
4659,La Prairie,mediterranean
4665,Belmont,american
4666,Tempe,american
4667,Calgary,cafe
4670,Las Vegas,mexican
4672,Calgary,portugues
4675,Las Vegas,burger
4694,Surprise,burger
4697,Calgary,burger
4698,Phoenix,american
4714,Montréal,vegan
4716,Chandler,mexican
4724,Mesa,japanes
4725,Tempe,burger
4727,Goodyear,mexican
4732,Calgary,mediterranean
4738,Las Vegas,asian
4739,Mississauga,indian
4742,Brampton,burger
4751,Toronto,italian
4757,Toronto,thai
4759,Madison,american
4760,Las Vegas,burger
4763,Glendale,burger
4765,Las Vegas,american
4773,Monticello,american
4774,North York,caribbean
4778,Charlotte,chines
4798,Fountain Hills,vegetarian
4808,Calgary,mediterranean
4813,Vaughan,mexican
4818,Phoenix,mexican
4822,Chandler,american
4829,Pittsburgh,mexican
4835,Madison,burger
4838,North York,mediterranean
4845,McMurray,chines
4849,Toronto,mediterranean
4850,Surprise,cafe
4860,Phoenix,chines
4861,Macedonia,italian
4862,Pittsburgh,italian
4865,Las Vegas,breakfast
4867,Montréal,thai
4875,Pittsburgh,chines
4881,Mississauga,vietnames
4891,Toronto,vegan
4895,Brampton,indian
4902,Montréal,cafe
4906,Glendale,american
4924,Toronto,american
4929,Kahnawake,burger
4937,Phoenix,american
4950,Pittsburgh,cafe
4951,Toronto,italian
4955,Cleveland,vegan
4957,Montréal,brazilian
4964,Montréal,cafe
4973,Harrisburg,burger
4988,Pineville,asian
4992,Brampton,indian
5001,Pittsburgh,cafe
5005,Lakewood,american
5007,Phoenix,american
5008,Goodyear,chines
5030,Las Vegas,burger
5043,Toronto,italian
5076,Charlotte,american
5078,Phoenix,american
5086,Cornelius,american
5089,Mississauga,italian
5091,Pittsburgh,american
5094,Toronto,ethiopian
5102,Las Vegas,american
5106,Madison,italian
5110,Montréal,cafe
5111,Willoughby Hills,american
5123,Calgary,chines
5126,Chandler,thai
5130,Mississauga,chines
5131,Scarborough,italian
5140,Monroe,american
5142,Toronto,breakfast
5163,Peoria,mexican
5166,Las Vegas,american
5173,Phoenix,barbequ
5185,Matthews,barbequ
5192,Stow,asian
5196,Toronto,chines
5212,Tempe,chines
5216,Montréal,barbequ
5223,North York,korean
5225,Toronto,vegan
5226,Pineville,american
5230,Brampton,chines
5240,Mesa,vietnames
5243,Lyndhurst,american
5252,Lowell,barbequ
5259,Boisbriand,breakfast
5261,Phoenix,mexican
5268,Prévost,breakfast
5273,Phoenix,breakfast
5274,Mesa,burger
5276,Toronto,burger
5277,Calgary,american
5284,Las Vegas,mexican
5289,Las Vegas,vegetarian
5296,Toronto,thai
5298,Montréal,hawaiian
5304,Toronto,japanes
5315,Cleveland,american
5327,Chandler,american
5330,Mississauga,chines
5332,Surprise,breakfast
5334,Calgary,thai
5335,Champaign,breakfast
5338,Toronto,cafe
5346,Henderson,italian
5352,Charlotte,caribbean
5358,Charlotte,indian
5364,Tempe,breakfast
5369,Charlotte,american
5380,Stow,burger
5390,Whitchurch-Stouffville,american
5396,Calgary,chines
5403,Brampton,burger
5410,Montréal,vegan
5413,Scottsdale,breakfast
5437,North York,italian
5438,Montréal,vietnames
5444,Mooresville,burger
5445,Charlotte,american
5456,Woodbridge,mexican
5462,Montréal,chines
5465,Las Vegas,brazilian
5470,Glendale,chines
5473,Toronto,american
5482,North York,japanes
5487,Phoenix,thai
5491,Dollard-des-Ormeaux,barbequ
5495,Charlotte,american
5507,Sainte-Julie,japanes
5516,Charlotte,mediterranean
5517,Chandler,vegetarian
5518,Litchfield Park,american
5520,Glendale,american
5523,Glendale,american
5533,Toronto,mediterranean
5534,Charlotte,caribbean
5536,Charlotte,indian
5540,Tempe,asian
5541,Montréal,asian
5544,Phoenix,mexican
5562,Las Vegas,american
5623,Middleton,american
5626,Calgary,japanes
5632,Toronto,burger
5633,Charlotte,italian
5640,Toronto,korean
5642,Laval,american
5649,Henderson,french
5660,Berea,american
5664,Cleveland,italian
5678,Las Vegas,american
5682,Mississauga,italian
5686,Phoenix,american
5698,Toronto,american
5702,Toronto,burger
5705,Las Vegas,chines
5708,Toronto,italian
5712,Chandler,chines
5716,Concord,american
5729,Las Vegas,american
5732,Mississauga,burger
5734,Mississauga,burger
5760,Parma,japanes
5763,Strongsville,american
5766,Toronto,asian
5768,Laval,burger
5769,Phoenix,chines
5771,Phoenix,mexican
5772,Toronto,breakfast
5784,Madison,mediterranean
5786,Scottsdale,italian
5793,Gilbert,american
5798,Toronto,chines
5809,Toronto,cafe
5817,Las Vegas,american
5820,Madison,cajuncreol
5828,Toronto,portugues
5829,Las Vegas,italian
5837,Pittsburgh,american
5841,Chandler,kebab
5843,Toronto,japanes
5852,Markham,burger
5858,Litchfield Park,american
5865,East York,mediterranean
5871,Peoria,american
5872,Tempe,cafe
5877,Paradise Valley,american
5881,Toronto,cafe
5891,Henderson,cafe
5900,Pittsburgh,american
5901,Toronto,cafe
5902,Cave Creek,mexican
5904,Rock Hill,breakfast
5914,Toronto,caribbean
5921,Newmarket,italian
5922,Gilbert,japanes
5924,Toronto,italian
5925,Rock Hill,breakfast
5930,Charlotte,chines
5931,Dollard-des-Ormeaux,thai
5938,Twinsburg,mexican
5939,Las Vegas,mexican
5945,Montréal,breakfast
5947,Middleburg Heights,mediterranean
5950,Montréal,breakfast
5960,Henderson,mediterranean
5966,Toronto,korean
5974,Cuyahoga Falls,ethiopian
5975,Calgary,barbequ
5991,Las Vegas,italian
5997,Toronto,burger
5999,Las Vegas,thai
6002,Pittsburgh,burger
6024,Phoenix,chines
6032,Saint-Hubert,cafe
6034,Toronto,breakfast
6035,Phoenix,japanes
6044,Gilbert,cafe
6051,Las Vegas,american
6053,Scottsdale,breakfast
6062,Montréal,vegan
6068,Las Vegas,american
6069,Montréal,cafe
6077,Richmond Hill,vegan
6090,Calgary,burger
6091,Tempe,indian
6092,Scottsdale,breakfast
6097,Robinson Township,american
6102,Verona,cafe
6108,Montréal,breakfast
6110,Mississauga,italian
6112,Calgary,breakfast
6116,Cave Creek,breakfast
6128,Gilbert,brazilian
6138,North Las Vegas,mexican
6156,Las Vegas,italian
6160,Twinsburg,vegetarian
6161,Goodyear,japanes
6170,Tempe,mexican
6177,Scottsdale,breakfast
6178,Madison,afghan
6181,Pickering,japanes
6182,Surprise,burger
6184,Markham,american
6201,Montréal,american
6208,Scottsdale,mexican
6213,Vaughan,cafe
6219,Toronto,cafe
6220,Pittsburgh,breakfast
6227,Pittsburgh,american
6237,Warrensville Heights,burger
6238,Charlotte,breakfast
6240,Charlotte,burger
6246,Pittsburgh,chines
6261,Toronto,mexican
6264,Scottsdale,american
6268,Tempe,american
6269,Scottsdale,indian
6276,Champaign,mexican
6277,Calgary,cajuncreol
6293,Toronto,thai
6295,Mississauga,italian
6296,Montréal,french
6298,Tempe,indian
6301,Charlotte,japanes
6314,Toronto,american
6315,Phoenix,japanes
6318,Mississauga,mexican
6320,Phoenix,american
6325,Montréal,indian
6327,Scottsdale,japanes
6328,Las Vegas,mexican
6330,Toronto,vietnames
6334,Whitby,burger
6335,Stoughton,mexican
6345,Madison,mexican
6346,Markham,italian
6347,Calgary,burger
6359,Montréal,vegan
6361,Phoenix,breakfast
6365,Tempe,american
6367,North York,japanes
6369,Allison Park,italian
6376,Tallmadge,italian
6407,Wilmerding,barbequ
6411,Henderson,barbequ
6413,Las Vegas,breakfast
6415,Toronto,italian
