caption,photo_id,business_id,label
from their website,_KKnMFElktEuOl5y6LdThg,s7lZ-_yylRPRXOxFYtQkCQ,inside
From in front of the booth - you can see back into the kitchen,lY5tXCnwtGXY9E8yUuqKdQ,zOL260xaXDYZZPBItzALxQ,inside
,fj6Xzb9bTwuyjyRNzlyddQ,aZVtg450O51eenM25tDkEQ,outside
front door,faqu84Bec0eK-_3e5g1Arg,qX9dJb-xCLZBCS-IlXv8Ng,inside
,74gxMzk2EMcf6OdOXNo7dA,ruWTngdiC68O9la27hvvHw,food
,3L38sV9JeUcmJpb8Kw7Mtg,ruWTngdiC68O9la27hvvHw,food
chicken salad,VSlZb57DiRYiB5rSYHf8Aw,DYuOxkW4DtlJsTHdxdXSlg,food
,GuvDS21yJ5efL1Zo1EzGPA,7eQoxWr9RzyCB9IFvqHUPA,outside
,x2uYzfvZp6oRejCzhySKbw,S-Hksc_Hh_dMEbiTWDnblQ,outside
,XGgLJX2mmwNSfoThXGrA9g,URFhSrJPk7JM2pUtsuWsAg,outside
inside of the restaurant,SDzpTx-vxrR8nKjOMsgLFA,OXrFWgoz533T8tMRemkiww,inside
,bX7ySHFljpUvKyA0Xz8pBQ,zNm3C496tg-jcrvG5khRUg,inside
,Y1tiezoVR7Ct9OY8le4GbQ,jx4VrFSwbBEUWMpvV4BS7A,outside
,fFYSdnm7EVGQ9x-HGUv-aQ,FrXD-7_LxoglCKdYzNMf1w,inside
$10 for this.,KxGrAXdzeBZO7rI4BlN9wg,pDSl9xdKJCdN4vu8z26cEA,inside
,J3Xd3a_pbOSx5YD4qw2SvA,-nKIDHXa5H23rq8d6KGT_Q,inside
Good times...,yxf9ERac8hAbNMaQ0PkCYw,yz3JQk5Lqbin8mtNfDcy_w,drink
,X0Ji5w-NYHWao_WcL3i9bQ,UydVmlfxab6O-CSnjeGZRw,inside
,NYI6vqiCgeMzLuEffmAVog,N_1aKgseCRqjBRwIgNOjQw,inside
"From my friend at Merz, the architecture/design firm that helped make this place awesome!",ZkHHRqrKjyJJeATxx-HU8Q,fSFzgt_QzJRUN0qNzTAwig,inside
"From my friend at Merz, the architecture/design firm that helped make this place awesome!",-xWVkTYpIpTO9nXojZw1Cg,fSFzgt_QzJRUN0qNzTAwig,outside
,yA7t1I5Z7-GcJX7NgkgwoA,ORNb79LPI1lZLMo60jsDYQ,inside
,LcrfHmgMwLNlzlf_fd4Tjw,ORNb79LPI1lZLMo60jsDYQ,inside
,MlVNpWXZFJA2S9NRsW2QoQ,xkVMIk_Vqh17f48ZQ_6b0w,outside
,X-6VB4ool8xHWM_b5YI6Fg,xkVMIk_Vqh17f48ZQ_6b0w,inside
Bar Dancers,hkV_CrgjTeJBTAWJWAO46w,GCRvrxMSC1nzShyM4Y-guQ,inside
,JhhHAWG7SGPtsMkpSjLnhQ,6UqOXFic_vu2JLGuu8YD6A,inside
,i9A8jMt_QOi72I7iFJQ6tA,u4o4TtSADbtgrlgmPlkSPg,drink
"See, I told you there were fishbowls.",TjzjMQ4l0itiTmSowhw8Bg,sSmt7JFTDNCcK1KfMVO2hw,inside
,66FWzKgQTl5JpIxDkojg-A,dPFGRDC3Hsi1mDKxvKz_9Q,drink
,Gs6CB1VdmkmmQr3ztenNhQ,vs99Jj_kVyuRtDl7rxXH2Q,inside
Large Pizza with Black Olives,mU6dFgCOJQTHxnYINHVpWg,tYbK94fl50os3h_RjpY4gw,food
Ooo... look at the pretty bottles behind the bar!,SlHN90nDNDEcZWZQVagMeA,f0YrS0PTGFX7T1svlPkrBQ,drink
,fFa-mByZ-rQefaIQXhfwhg,FLMxWQO-ckCQmGZhU9OQgw,inside
,yZrj8xiZUCqkVtwAaRfh_Q,ymtJtXwsJUClLNDepV1piQ,drink
parasol down,dcNE8RsOeve5oNbWtB3h5Q,6KtYYZ4ARIVa2Zj2tOcp9g,inside
,Pq3NdUG3IeRFkg6TRDI3dA,Lq9rYrwvWV5QDBYzq7MGHQ,inside
,QDYULWqMQEoMyz3WiAFBLw,BGGQOJQTQerEQu0kHbT_UQ,outside
,z8Y6vBLZXoWr0sweDb3vGA,lTKfkTHuD0qRt6OaocI-pg,outside
Eddie V's Edgewater Grill,D__lKlNV-3Ha_eps3Y9_CA,jGH9DMTUojegjQZ4anb1kQ,inside
,gMO1mManf2UefuF6H2JaDQ,LNOnYo13ggdoEGD-syYHIA,inside
,MvqYzmOSEIoBXMdtWRqvnw,EAwh1OmG6t6p3nRaZOW_AA,inside
,Lj_lmfoOxTP6Aw14PAIkhg,m4EqSB0aI17jzMyCtdfWAA,outside
"Best Ribs on the Planet.  OK, so I took the photo after we ate most of it.  Whatever.",UJkd_PoWNr18Yqhsb2jELA,4hG2j_ibsNblDgqei05U_g,food
,AYHMdVOF7juF13QlabzZUw,4hG2j_ibsNblDgqei05U_g,inside
,XEZRfzyPEf7cJ9pEr1VivQ,4hG2j_ibsNblDgqei05U_g,inside
Club,gZfg0pt3XfMseo50Rx_3Wg,NvKNe9DnQavC9GstglcBJQ,food
,1Xd3STiaGro0jMAwOCxAKg,Kgwz2rXBmEx0ihuB6Ta4WQ,inside
,Q07IVXh4_GFLN3kNGNpGRQ,Kgwz2rXBmEx0ihuB6Ta4WQ,inside
Yummy Scallop with Baby Vegetables and Microgreens Appetizer,ni_ewrrPlMY_CM5Z3lbnPw,VBhPgceaKWOXT71d3Jp38w,food
The whole spread...made me cry,JLWFHd-dv3DUo2PcIFKOOA,VBhPgceaKWOXT71d3Jp38w,food
,fqW_zFqAuoy11ughZtTfDg,Y40U2KXA3v-N_h-9F8Y_aQ,inside
George and Willie,g1-mr3_Lz7zgvUMTblIA2A,IhSZSLns2uQuPxBNPb5lDQ,inside
English Name,vsgkcfHYpvAum4W4uOpN8A,DVfCbJhJUDWRlUfrKzaKOA,outside
The Bad Donkey -- Store Front,d5CDu2jD9uK2gSq18_-JPg,bA88bCrusTPhDdipj5g0jg,outside
Wine tasting with lots of glasses.,46wX92z8Ur5tWQwmv1Tzjw,GTR39A2jwNIS_NV8q2r_JA,inside
,Yl7iKPbRMewJZAVsb0s2cQ,xrBQKZbhJMCtaZxeJ0tzTQ,inside
,sg7qEeYsaVXxKl3tZQUXvQ,NmOBomyz63TP9Nn2q4Z1rg,inside
Back of my head in the Legends of Bartending Shirt.,KBQRLqbREpIaktXqEy1eQw,C6K3bDXHYwqsG0TmavY2gw,inside
,i9WyfFJFdHA_p7VgjkMenQ,C6K3bDXHYwqsG0TmavY2gw,inside
,CA4-Ylm0Fq6_OLBFMmndrw,O6rGW7A7l_125-xzTZkRLQ,outside
,kDD9g8-PkRkGELdjeIk_kg,EOgc0bpKoQHTmbXi203XAw,inside
,rWLxfPvdyBvwrsRSESQhww,UNI1agsPX2k3eJSJVB91nw,food
Mul Naengmyeon - $8.95,Sb39Q_neG8ncCfDxiJ2TWw,WO1sgbYB6u6VVcvChanp5g,food
Famous Rib Rub,xPJ2tOy_MmrTLJJO2M5uOg,idDcv-gwj3joKuSBJxAfGg,drink
Opportunity for Humiliation!!!,qlZXDdsNwQ_7GyKuU0osOA,kQGw66MGiK4mIXfV_kVZTA,inside
,WLJki2p9cH-i5PidyLpkVA,D6SCh4BwNb52wZIqXdS4JQ,outside
Becca and the bar,zuyhbiWGAIwswwb1qB0b6g,L2c-qKZWumCmOCR-dqBLrg,inside
The bar,MnGOKdnvkwAhSl8fm564ZQ,L2c-qKZWumCmOCR-dqBLrg,inside
,8BRwTyJKzxY3_UVuoaKbdA,tZT_0yAeFxuihVnGXoCbWQ,inside
