Souce,Sink,Connected,Jaccard,Resource_alloc,Adamic_adar,Preferential_attachment,Common Neighbours,CN Sound-Hopcroft,Resoruce Alloc Index,Within Inner Cluster
2646333,306268,1,0.005681818181818182,0.00011436413540713633,0.11017920280613744,6272,1,2,0.00011436413540713633,1000.0
2961243,1913552,1,0.038910505836575876,0.02222452768667114,1.5045214049441642,6692,10,20,0.02222452768667114,10000.0
449747,35599,1,0.0,0,0,640,0,0,0,0.0
332809,3953565,1,0.009615384615384616,0.0007473841554559044,0.1389095084487022,500,1,2,0.0007473841554559044,1000.0
1581252,3266019,1,0.0,0,0,764,0,0,0,0.0
3865894,4824762,1,0.020152883947185545,0.02627992916424944,3.8166211165096624,507427,29,58,0.02627992916424944,29000.0
4690464,2659298,1,0.08,0.08567712854871601,1.3674533093367622,518,6,12,0.08567712854871601,6000.0
555641,1579410,1,0.0,0,0,51,0,0,0,0.0
725415,461337,1,0.07377049180327869,0.03392678209024083,1.5224990197815442,3690,9,18,0.03392678209024083,9000.0
3153504,961495,1,0.0005543237250554324,0.0005050488475119716,0.22664052664483636,32409,2,4,0.0005050488475119716,2000.0
4528745,4118275,1,0.1308411214953271,0.042616927473654906,2.1453643515896874,2254,14,28,0.042616927473654906,14000.0
3332284,3882237,1,0.02711864406779661,0.014253299086689724,2.068792484538666,21053,16,32,0.014253299086689724,16000.0
4437816,1244400,1,0.00019830777366472766,0.0003196549135708136,0.32650471087974975,136098,3,6,0.0003196549135708136,3000.0
1733406,1247366,1,0.05587892898719441,1.0522630269849282,10.92472183303008,82110,48,96,1.0522630269849282,48000.0
164065,3450081,1,0.008241758241758242,0.004537334701067664,0.7893694908176389,14973,6,12,0.004537334701067664,6000.0
4294640,3354877,1,0.056025369978858354,0.09541019862900071,7.786357135975568,78518,53,106,0.09541019862900071,53000.0
3395649,3205306,1,0.003937007874015748,0.00016310104274121266,0.20017956476283183,1521,2,4,0.00016310104274121266,2000.0
3254161,3344278,1,0.013618677042801557,0.005537619461814516,0.9630803954761498,10500,7,14,0.005537619461814516,7000.0
1270707,4561137,1,0.010889292196007259,0.0001855812454149995,0.5628208200942233,26712,6,12,0.0001855812454149995,6000.0
3491759,4201983,1,0.005555555555555556,0.0009930486593843098,0.1446187878479888,3078,1,2,0.0009930486593843098,1000.0
769671,4595673,1,0.08947368421052632,0.07301473766067981,2.9000978460180216,9230,17,34,0.07301473766067981,17000.0
3714040,2555792,1,0.02564102564102564,0.0004051863857374392,0.12802190284703202,111,1,2,0.0004051863857374392,1000.0
1573834,4538790,1,0.0,0,0,4958,0,0,0,0.0
2229500,2020240,1,0.01514004542013626,0.10778533107756912,3.10871689342257,307818,20,40,0.10778533107756912,20000.0
2323997,2667379,1,0.0029542097488921715,0.0007400325612326943,0.6177234993110876,24300,6,12,0.0007400325612326943,6000.0
4443539,653633,1,0.015521064301552107,0.02361638704826738,1.1973027226053548,40120,7,14,0.02361638704826738,7000.0
1392869,2200864,1,0.04,0.00022805017103762827,0.11924714642793138,105,1,2,0.00022805017103762827,1000.0
2735992,4141448,1,0.0,0,0,10,0,0,0,0.0
4397729,1051821,1,0.0,0,0,462,0,0,0,0.0
4071980,98636,1,0.008928571428571428,0.004709610288322347,0.7913403475848492,11880,6,12,0.004709610288322347,6000.0
1787002,3553485,1,1.6754628466113764e-05,0.0006224007830024987,0.2474973641315857,2745027,2,4,0.0006224007830024987,2000.0
1367772,3921493,1,0.0,0,0,84,0,0,0,0.0
2588926,1620145,1,0.09180327868852459,0.5304945303557553,6.458827803117235,20582,28,56,0.5304945303557553,28000.0
2277120,1690452,1,0.09268292682926829,0.1360156879636543,3.4806190534141566,12103,19,38,0.1360156879636543,19000.0
3244941,4277033,1,0.0,0,0,320,0,0,0,0.0
1629739,3273144,1,0.0037433155080213902,0.012036452797283131,1.0749583502374982,291726,7,14,0.012036452797283131,7000.0
2421787,2276690,1,0.004918032786885246,4.404275114478489e-05,0.25905419397747576,11860,3,6,4.404275114478489e-05,3000.0
4857001,2533209,1,0.008928571428571428,0.0056921093064835355,0.5731344634014934,32580,4,8,0.0056921093064835355,4000.0
3664547,16223,1,0.010460251046025104,0.007615779889313724,0.7238702065007129,40766,5,10,0.007615779889313724,5000.0
138588,4343537,1,0.011235955056179775,0.002784297142707997,0.6949417955333512,48251,6,12,0.002784297142707997,6000.0
799583,4219994,1,0.03805496828752643,0.11877726603965716,5.7976516640797096,66357,36,72,0.11877726603965716,36000.0
2950467,906818,1,0.015625,0.007167916984448371,1.8879371492206223,152064,16,32,0.007167916984448371,16000.0
4802205,3183220,1,0.0052173913043478265,0.0015933044243196448,0.3976896746710583,11697,3,6,0.0015933044243196448,3000.0
654046,4454737,1,0.11090047393364928,0.748300734697101,20.041969523547593,173652,117,234,0.748300734697101,117000.0
4489237,3118638,1,0.000488162069807176,0.001496079516342297,0.22753973386862986,118030,2,4,0.001496079516342297,2000.0
2800603,4418968,1,0.2079207920792079,0.49079715231476473,5.081862488612235,2937,21,42,0.49079715231476473,21000.0
715172,1198844,1,0.0,0,0,189,0,0,0,0.0
435625,3070079,1,0.17708333333333334,0.12448136919009818,3.346883883588434,3082,17,34,0.12448136919009818,17000.0
334461,4332136,1,0.04120443740095087,0.02816223875439752,9.351161766865502,264770,78,156,0.02816223875439752,78000.0
463041,399490,1,0.012134189864382585,0.01431530000759138,2.171564512977774,266485,17,34,0.01431530000759138,17000.0
4768062,1808872,1,0.023255813953488372,0.009477676380869559,1.7392891289839192,28815,14,28,0.009477676380869559,14000.0
2294803,1136728,1,0.0005233410090014653,0.010347153508214225,2.347338786525483,15957508,20,40,0.010347153508214225,20000.0
1940349,4427258,1,0.1781609195402299,0.08388376609336542,4.808112770714737,6600,31,62,0.08388376609336542,31000.0
550080,4063335,1,0.0,0,0,612,0,0,0,0.0
1071241,919201,1,0.04026548672566372,0.232092452845669,14.332628473267743,1240800,91,182,0.232092452845669,91000.0
3606373,4768182,1,0.02824858757062147,0.007266541116513144,0.7308111521864447,3792,5,10,0.007266541116513144,5000.0
1807579,1992661,1,0.0273972602739726,0.02756131151471275,0.770089807433993,864,4,8,0.02756131151471275,4000.0
3458888,3286702,1,0.0,0,0,2034,0,0,0,0.0
3567284,1812114,1,0.02094679514034353,0.11836554522144004,7.463282176858917,471700,50,100,0.11836554522144004,50000.0
171580,1985469,1,0.04559748427672956,0.1781069854189634,5.129687240405877,109564,29,58,0.1781069854189634,29000.0
2816537,902114,1,0.0,0,0,82,0,0,0,0.0
1257294,2569134,1,0.06015693112467306,0.37328174867408026,11.117233949052794,369039,69,138,0.37328174867408026,69000.0
3153957,2940965,1,0.008264462809917356,0.0020054660145667497,0.2894922483388074,14628,2,4,0.0020054660145667497,2000.0
201146,2698488,1,0.0,0,0,270,0,0,0,0.0
3483861,1515717,1,0.0015220700152207,0.000835421888053467,0.14109200715836145,1312,1,2,0.000835421888053467,1000.0
429484,1605112,1,0.0,0,0,6048,0,0,0,0.0
3836480,3307441,1,0.0,0,0,3080,0,0,0,0.0
3057215,1760097,1,0.0037313432835820895,4.802381981462805e-05,0.10056504052918624,7990,1,2,4.802381981462805e-05,1000.0
4865926,4147676,1,0.013257575757575758,0.05295922697793995,1.2084749914585056,20706,7,14,0.05295922697793995,7000.0
3898959,1156256,1,0.001893939393939394,0.0010482180293501049,0.14575849333085,19560,1,2,0.0010482180293501049,1000.0
4013045,2214931,1,0.002531645569620253,0.0012919896640826874,0.15034040359249984,1568,1,2,0.0012919896640826874,1000.0
3782034,4432761,1,0.02857142857142857,0.061084914091790024,2.44498827043351,71456,15,30,0.061084914091790024,15000.0
2538626,1412140,1,0.002163421534365119,0.0065456098584273795,1.5209845899882015,114057,13,26,0.0065456098584273795,13000.0
1184643,380553,1,0.02666666666666667,0.003463910501321024,0.48437229188981207,3813,4,8,0.003463910501321024,4000.0
4237062,2755521,1,0.0,0,0,18,0,0,0,0.0
4160225,4618877,1,0.024861878453038673,0.019992995260957117,1.4369821703480552,6018,9,18,0.019992995260957117,9000.0
2287992,838334,1,0.009935205183585313,0.0012278733462593278,2.142614504843415,739297,23,46,0.0012278733462593278,23000.0
1854620,1527720,1,0.03225806451612903,0.08917407192530928,5.195937166659776,347215,37,74,0.08917407192530928,37000.0
113182,3433977,1,0.175,0.4134774210192431,18.18647818233264,123500,105,210,0.4134774210192431,105000.0
1888909,824460,1,0.02702702702702703,1.3112054304884109e-06,0.07383035914027619,105,1,2,1.3112054304884109e-06,1000.0
3337108,1495401,1,0.004310344827586207,0.0019083969465648854,0.1597063528015264,916,1,2,0.0019083969465648854,1000.0
2509863,18059,1,0.0035587188612099642,1.1426482014717308e-05,0.08787672930771424,17381,1,2,1.1426482014717308e-05,1000.0
3100376,2343253,1,0.0,0,0,639,0,0,0,0.0
1281814,3980880,1,0.0,0,0,140,0,0,0,0.0
3664547,294731,1,0.08997429305912596,0.1285124458357724,6.0715352782898195,18700,35,70,0.1285124458357724,35000.0
2856328,4533882,1,0.0,0,0,344,0,0,0,0.0
1029425,2403961,1,0.02810304449648712,0.0018714277146145142,1.2471894908736698,46018,12,24,0.0018714277146145142,12000.0
170119,2353748,1,0.02880921895006402,0.010246155359634792,5.072456360470461,326952,45,90,0.010246155359634792,45000.0
552835,473043,1,0.05475504322766571,0.4006346625878499,4.5042687022284875,17864,19,38,0.4006346625878499,19000.0
1002989,800650,1,0.06886657101865136,0.2490498625558213,7.7096224185801265,125874,48,96,0.2490498625558213,48000.0
244748,468306,1,0.014925373134328358,0.029948307859203643,1.7625996125298489,12427,11,22,0.029948307859203643,11000.0
2337048,1469071,1,0.07936507936507936,0.0460899555570962,2.519470087898373,3843,15,30,0.0460899555570962,15000.0
1345607,3118592,1,0.0,0,0,425,0,0,0,0.0
116337,3561966,1,0.010582010582010581,0.0001291557464685861,0.1853790440710285,4008,2,4,0.0001291557464685861,2000.0
1219703,1159753,1,0.10126582278481013,0.002999717616729646,0.9340462590571822,1802,8,16,0.002999717616729646,8000.0
839644,4303512,1,0.015810276679841896,0.0012561733517533495,0.42076053926104384,16510,4,8,0.0012561733517533495,4000.0
2883120,4294946,1,0.0,0,0,146,0,0,0,0.0
1837687,436361,1,0.0,0,0,694,0,0,0,0.0
3233131,2397625,1,0.0004906771344455348,0.0005724098454493417,0.13394671444884101,6108,1,2,0.0005724098454493417,1000.0
43264,2268771,1,0.018055555555555554,0.025022419117841827,1.8412117658802596,56202,13,26,0.025022419117841827,13000.0
999685,1474606,1,0.0006042296072507553,1.3112054304884109e-06,0.07383035914027619,14823,1,2,1.3112054304884109e-06,1000.0
982725,1163829,1,0.04231974921630094,0.05128425905193491,3.8400531488106386,104236,27,54,0.05128425905193491,27000.0
3826785,1771438,1,0.0,0,0,303,0,0,0,0.0
2416271,227315,1,0.011730205278592375,0.010005536967111019,0.6369916203572014,7106,4,8,0.010005536967111019,4000.0
1070034,4751012,1,0.0036452004860267314,0.01449783533429432,0.929966241000445,64480,6,12,0.01449783533429432,6000.0
2836448,3388599,1,0.0125,0.00033151275084447644,0.49478138260880744,11594,5,10,0.00033151275084447644,5000.0
2337068,42801,1,0.0,0,0,6432,0,0,0,0.0
679392,2889828,1,0.11012235817575083,2.4075385329404044,23.423624453598133,248160,99,198,2.4075385329404044,99000.0
3399075,4566135,1,0.0005455537370430987,1.1426482014717308e-05,0.08787672930771424,23673,1,2,1.1426482014717308e-05,1000.0
370525,4709203,1,0.043028685790527016,0.014245634910814946,13.153139440235453,1646190,129,258,0.014245634910814946,129000.0
1870750,705667,1,0.0,0,0,142,0,0,0,0.0
2130370,4663639,1,0.0,0,0,368,0,0,0,0.0
1934937,1245127,1,0.007518796992481203,0.007462686567164179,0.20417164318237246,1353,1,2,0.007462686567164179,1000.0
1887842,4446597,1,0.0022675736961451248,0.011764705882352941,0.22509081678177853,3472,1,2,0.011764705882352941,1000.0
1452067,188932,1,0.0,0,0,1182,0,0,0,0.0
1799787,102676,1,0.03916768665850673,0.020562945971469068,3.947962431211502,51678,32,64,0.020562945971469068,32000.0
620351,815831,1,0.0,0,0,16,0,0,0,0.0
251498,220397,1,0.023121387283236993,0.003945862495157678,0.5221476002441472,5762,4,8,0.003945862495157678,4000.0
3506652,4543382,1,0.075,0.03072728489227887,0.6270976670957478,280,3,6,0.03072728489227887,3000.0
3710223,3244110,1,0.009052183173588925,0.014010684639285132,2.2055615780723694,355324,17,34,0.014010684639285132,17000.0
3114874,804420,1,0.11056511056511056,0.4328289972938593,9.108112153287863,31195,45,90,0.4328289972938593,45000.0
4100597,3893520,1,0.2676056338028169,0.08514804541263002,3.376655606543695,2000,19,38,0.08514804541263002,19000.0
3256646,2020981,1,0.0,0,0,352,0,0,0,0.0
4794243,600170,1,0.009900990099009901,0.001483679525222552,0.1535336511947572,485,1,2,0.001483679525222552,1000.0
2118739,910776,1,0.002061855670103093,0.0009775171065493646,0.14428984275593634,55800,1,2,0.0009775171065493646,1000.0
570340,1058463,1,0.125,0.06295060052556305,1.2840441028015857,329,6,12,0.06295060052556305,6000.0
795575,4436718,1,0.037037037037037035,0.0010528793473022367,0.23260134271820132,588,2,4,0.0010528793473022367,2000.0
3835813,1468068,1,0.054838709677419356,0.004309112642129833,2.0446674308930746,25400,17,34,0.004309112642129833,17000.0
4542296,1122560,1,0.0009159850034083163,0.09008146739821549,6.313946229858653,9636886,43,86,0.09008146739821549,43000.0
126183,1821458,1,0.0,0,0,42609,0,0,0,0.0
3408792,1663756,1,0.028286189683860232,0.05390839606676888,2.736999775589082,41192,17,34,0.05390839606676888,17000.0
4043972,2594943,1,0.009236234458259326,0.0028424540662603383,2.708066073468922,300410,26,52,0.0028424540662603383,26000.0
1576405,4479641,1,0.002728512960436562,0.0001613366660469565,0.5538650579661156,97200,6,12,0.0001613366660469565,6000.0
4726789,1879962,1,0.0,0,0,1000,0,0,0,0.0
4019772,864596,1,0.0,0,0,225,0,0,0,0.0
2151120,4489871,1,0.024456521739130436,0.025776181354283965,1.5220828406983873,25230,9,18,0.025776181354283965,9000.0
2425678,2757422,1,0.0056179775280898875,0.0016366612111292963,0.1558822892879757,5560,1,2,0.0016366612111292963,1000.0
2025015,2652341,1,0.16901408450704225,0.1467713970364633,2.6944700401629538,1020,12,24,0.1467713970364633,12000.0
2629332,677592,1,0.08641975308641975,0.10135855793558456,4.542739436875673,25351,28,56,0.10135855793558456,28000.0
2724338,219641,1,0.00031735956839098697,1.3112054304884109e-06,0.07383035914027619,6300,1,2,1.3112054304884109e-06,1000.0
855629,701116,1,0.19391634980988592,0.5408795178278665,10.441820442938461,19888,51,102,0.5408795178278665,51000.0
893571,4701201,1,0.058823529411764705,0.002169334887299911,0.5690736691086977,1856,5,10,0.002169334887299911,5000.0
1103556,1548986,1,0.0,0,0,32,0,0,0,0.0
672081,3548983,1,0.0,0,0,420,0,0,0,0.0
4548340,3272419,1,0.01968503937007874,0.04085127725757855,1.0010532877216565,1518,5,10,0.04085127725757855,5000.0
355400,4009768,1,0.0,0,0,6930,0,0,0,0.0
4343873,3946620,1,0.17525773195876287,0.17133263258471285,8.628694281265052,16472,51,102,0.17133263258471285,51000.0
1472420,466203,1,0.026873693639892504,0.7826999659151466,28.212429104399913,11824605,180,360,0.7826999659151466,180000.0
884152,358430,1,0.04310344827586207,3.6489133109209053,44.27919494626723,3529136,225,450,3.6489133109209053,225000.0
2011443,4471023,1,0.002785515320334262,0.0004962779156327543,0.1314341195175447,1071,1,2,0.0004962779156327543,1000.0
150150,522366,1,0.04216867469879518,0.0017840289472071634,0.7534256728531129,3576,7,14,0.0017840289472071634,7000.0
3916610,701638,1,0.008174386920980926,0.0006016927642353034,0.8348411775213347,64976,9,18,0.0006016927642353034,9000.0
237114,1403971,1,3.153770575320532e-05,0.06652587745472345,2.3219097985736648,40387760,13,26,0.06652587745472345,13000.0
4698377,700167,1,0.07657657657657657,0.2673188677619618,21.48845051169696,1001858,153,306,0.2673188677619618,153000.0
176923,2665690,1,0.007853403141361256,0.0001477164099496937,0.2957051976974359,2646,3,6,0.0001477164099496937,3000.0
252207,1653770,1,0.125,0.336268510812199,3.1980530803371314,1616,13,26,0.336268510812199,13000.0
1131396,2309784,1,0.0,0,0,57,0,0,0,0.0
4110098,282738,1,0.004453240969816922,0.007998060417485915,1.1633465155131475,482625,9,18,0.007998060417485915,9000.0
3384077,3314478,1,0.005558172397550636,0.2839763785031755,9.734202742039196,2176928,59,118,0.2839763785031755,59000.0
782374,4422689,1,0.009971509971509971,0.00288987395747281,0.7906113367724129,21664,7,14,0.00288987395747281,7000.0
356404,4796439,1,0.005076142131979695,0.007936507936507936,0.20677041149372208,585,1,2,0.007936507936507936,1000.0
4068010,605520,1,0.0002674511901577962,0.0006418485237483953,0.1360329854422877,14944,1,2,0.0006418485237483953,1000.0
843275,623129,1,0.14007782101167315,0.07143053812303274,9.540715273174582,57288,72,144,0.07143053812303274,72000.0
4552164,4044850,1,0.030818278427205102,0.4740607927062394,21.498392406194625,3591456,145,290,0.4740607927062394,145000.0
871160,3554524,1,0.017804154302670624,0.019679198333571814,4.435112780168542,456665,36,72,0.019679198333571814,36000.0
1971940,4738785,1,0.0,0,0,237,0,0,0,0.0
4621317,3255019,1,0.004705882352941176,0.2137731549496255,1.2331728653006335,46168,4,8,0.2137731549496255,4000.0
948829,2925178,1,0.0,0,0,2184,0,0,0,0.0
2320107,4007276,1,0.009618810117563235,0.013424387678405467,3.255631507803693,392448,27,54,0.013424387678405467,27000.0
3676081,4009971,1,0.0022234574763757642,0.0379978930118099,1.355637316810175,411584,8,16,0.0379978930118099,8000.0
1009056,1764694,1,0.030303030303030304,0.017476396582353556,3.4944259166479954,136697,27,54,0.017476396582353556,27000.0
4387353,2101412,1,0.005747126436781609,0.0027624309392265192,0.16973190573741526,1014,1,2,0.0027624309392265192,1000.0
2205192,349262,1,0.005434782608695652,5.2598358931201344e-05,0.1014937274613128,1246,1,2,5.2598358931201344e-05,1000.0
2401531,2563925,1,0.0079155672823219,0.0020523435707956615,0.35940416668529296,16032,3,6,0.0020523435707956615,3000.0
4795247,2746654,1,0.022922636103151862,0.05768021022303132,1.4389134356323567,4140,8,16,0.05768021022303132,8000.0
3689748,1794070,1,0.0,0,0,95,0,0,0,0.0
4738635,4172322,1,0.030303030303030304,0.008730421782289704,1.1992048339938106,19565,9,18,0.008730421782289704,9000.0
1102593,3881319,1,0.0,0,0,74,0,0,0,0.0
3812961,2415886,1,0.007936507936507936,4.058112166220274e-05,0.09889037500207966,2626,1,2,4.058112166220274e-05,1000.0
2617132,4028640,1,0.0011198208286674132,0.0008124123391196355,1.2912433701424446,301496,13,26,0.0008124123391196355,13000.0
1735883,838983,1,0.018173917092173267,6.713047751071752,207.33459049498745,174290420,1171,2342,6.713047751071752,1171000.0
3246429,3510620,1,0.018648018648018648,0.0076700225762570354,1.1226199070274259,40260,8,16,0.0076700225762570354,8000.0
2092369,2991226,1,0.002663115845539281,0.0012742337003443774,0.48016721368113247,13473,4,8,0.0012742337003443774,4000.0
809561,4479195,1,0.024691358024691357,0.19166666666666665,0.8501677200318429,1720,2,4,0.19166666666666665,2000.0
3514248,2532857,1,0.0012903225806451613,0.0030120481927710845,0.1722612833903924,7660,1,2,0.0030120481927710845,1000.0
3564842,480496,1,0.021910604732690624,0.03606627712195347,19.14372645181775,5135325,175,350,0.03606627712195347,175000.0
2336346,2813336,1,0.0,0,0,1115,0,0,0,0.0
3713663,1771168,1,0.0,0,0,352,0,0,0,0.0
1675530,4595881,1,0.006725297465080186,0.00023849812939117824,1.1712657190635465,87400,13,26,0.00023849812939117824,13000.0
437876,1575334,1,0.04964539007092199,0.036245009113075544,2.2587298064016466,11703,14,28,0.036245009113075544,14000.0
1035642,3523508,1,0.00234192037470726,0.0027886073207710636,0.3001328579492213,7623,2,4,0.0027886073207710636,2000.0
3793443,4421120,1,0.0,0,0,6331,0,0,0,0.0
2921487,623213,1,0.014925373134328358,0.0022847972975389105,0.5049418046883176,8092,4,8,0.0022847972975389105,4000.0
1605849,3577113,1,0.014925373134328358,0.0028907770843254717,0.30583613674442306,1708,2,4,0.0028907770843254717,2000.0
3181197,3414450,1,0.024193548387096774,4.864809926448041e-05,0.2684621032960715,1062,3,6,4.864809926448041e-05,3000.0
2881419,2633592,1,0.0007283321194464676,0.01,0.21714724095162588,2744,1,2,0.01,1000.0
3552495,2705866,1,0.034778465936160075,0.01583509676165159,7.967472336570329,923360,73,146,0.01583509676165159,73000.0
2056253,1330862,1,0.007730786721236926,0.006159657541343767,1.9084516712862656,72039,17,34,0.006159657541343767,17000.0
3509695,2025400,1,0.00390625,0.0003348961821835231,0.12497359966919863,762,1,2,0.0003348961821835231,1000.0
2868231,1490603,1,0.013651877133105802,0.034256756410560876,1.9752610339642738,45980,12,24,0.034256756410560876,12000.0
4287905,4793196,1,0.014084507042253521,0.000794912559618442,0.14010942809509416,272,1,2,0.000794912559618442,1000.0
3784839,260641,1,0.007263922518159807,0.003528590748059777,0.8922625476996036,42525,9,18,0.003528590748059777,9000.0
2038453,2244490,1,0.0,0,0,868,0,0,0,0.0
3298820,843363,1,0.23728813559322035,0.026548428198079736,2.0391100657285115,1200,14,28,0.026548428198079736,14000.0
708148,674212,1,0.004728132387706856,0.00010374289512428432,0.20182052086438962,2514,2,4,0.00010374289512428432,2000.0
977321,4323270,1,0.0,0,0,404,0,0,0,0.0
4256012,1710039,1,0.0,0,0,288,0,0,0,0.0
2958285,4704390,1,0.003386004514672686,0.00020915621843864147,0.3011141708589091,49740,3,6,0.00020915621843864147,3000.0
3964144,749672,1,0.02890932982917214,0.0012808117394879832,2.120623671263705,134640,22,44,0.0012808117394879832,22000.0
3517389,1035787,1,0.0018137847642079807,2.111802047964051e-05,0.2472530473146946,26256,3,6,2.111802047964051e-05,3000.0
892090,910776,1,0.022429261559696344,0.04703870578329464,8.46032180993088,798900,65,130,0.04703870578329464,65000.0
4339556,161315,1,0.00968054211035818,0.010665948238113445,1.3135625896963707,33330,10,20,0.010665948238113445,10000.0
2951236,1355524,1,0.0030120481927710845,0.0004995004995004995,0.13154602693881906,27540,1,2,0.0004995004995004995,1000.0
2124659,4793104,1,0.0,0,0,38,0,0,0,0.0
2647536,35392,1,0.006289308176100629,0.024810680530306644,1.5060304255938934,22204,10,20,0.024810680530306644,10000.0
1552739,245651,1,0.06315789473684211,0.9943758239845975,32.82915972243746,1388921,180,360,0.9943758239845975,180000.0
4695113,2805661,1,0.0241733181299886,1.498801361282862,20.191713514760483,2147168,106,212,1.498801361282862,106000.0
1572027,1709004,1,0.125,0.030175186018536776,0.9303542801136824,464,5,10,0.030175186018536776,5000.0
477357,1511168,1,0.021798365122615803,1.001904151161001,10.886004336268954,131400,48,96,1.001904151161001,48000.0
4454192,2280124,1,0.0,0,0,1015,0,0,0,0.0
1850807,3755098,1,0.008213552361396304,0.001295893634810062,0.4585282435625889,58630,4,8,0.001295893634810062,4000.0
3873589,1137102,1,0.013157894736842105,0.0003287310979618672,0.12468407435746813,426,1,2,0.0003287310979618672,1000.0
4527137,2551500,1,0.04878048780487805,0.01781543075738437,1.5433501143896338,6300,10,20,0.01781543075738437,10000.0
1216735,1445489,1,0.006329113924050633,0.0029498525073746312,0.17164434973717002,1898,1,2,0.0029498525073746312,1000.0
3393796,816015,1,0.07901907356948229,0.09855162480107704,15.213050853991417,355823,116,232,0.09855162480107704,116000.0
4681096,4558307,1,0.0,0,0,12,0,0,0,0.0
2188303,1612429,1,0.013888888888888888,0.0006227087181898716,0.6062448165489688,47285,6,12,0.0006227087181898716,6000.0
3041494,2708820,1,0.0,0,0,882,0,0,0,0.0
2317461,46919,1,0.01429388221841052,0.006557738221859412,2.824387519250194,79488,25,50,0.006557738221859412,25000.0
356563,4138248,1,0.0,0,0,250,0,0,0,0.0
